Name,Type,Website,Email,Phone,Contact Info
Porto Digital,Hub,https://www.portodigital.org,portodigital@portodigital.org,(81) 3419-8000,"Cais do Apolo, 222 - Bairro do Recife"
Jump Brasil,Incubator,http://www.jumpbrasil.com,contato@jumpbrasil.com,(81) 3419-8100,"Rua do Apolo, 235 - Bairro do Recife"
CESAR Labs,Accelerator,https://www.cesar.org.br/labs,labs@cesar.org.br,(81) 3419-6700,"Rua do Brum, 77 - Bairro do Recife"
Invest Anjos,Angel Group,https://www.investanjos.com.br,contato@investanjos.com.br,,"Recife, PE"
Anjos do Brasil (PE),Angel Group,https://www.anjosdobrasil.net,pernambuco@anjosdobrasil.net,,"Recife, PE"
Softex Pernambuco,Hub,https://www.softexpe.org.br,contato@softexpe.org.br,(81) 3224-4251,"Rua da Guia, 142 - Bairro do Recife"
Overdrives,Accelerator,https://overdrives.com.br,contato@overdrives.com.br,,"Recife, PE"
GF Capital,Investment Fund,https://gfcapital.com.br,contato@gfcapital.com.br,,"Recife, PE"
Sensatto Investimentos,Investment Fund,https://sensatto.com.br,contato@sensatto.com.br,,"Recife, PE"
Triaxis Capital,Investment Fund,https://triaxiscapital.com,contato@triaxiscapital.com,,"Recife, PE"
José Gilson Almeida Teixeira Filho,Angel Investor,,josé.gilson.almeida.teixeira.filho@gmail.com,,"Recife, PE"
Yves Nogueira,Angel Investor,,yves.nogueira@gmail.com,,"Recife, PE"
Victor Mahon,Angel Investor,,victor.mahon@gmail.com,,"Recife, PE"
Marcelo Hollanda,Angel Investor,,marcelo.hollanda@gmail.com,,"Recife, PE"
Bruno Rodrigues,Angel Investor,,bruno.rodrigues@gmail.com,,"Recife, PE"
Darrell Marinho,Angel Investor,,darrell.marinho@gmail.com,,"Recife, PE"
Paulo Adeodato,Angel Investor,,paulo.adeodato@gmail.com,,"Recife, PE"
Vaninho Antonio,Angel Investor,,vaninho.antonio@gmail.com,,"Recife, PE"
Epfanio Alves,Angel Investor,,epfanio.alves@gmail.com,,"Recife, PE"
2D TELECOM,Startup/Tech Company,https://2dtelecom.com.br,contato@2dtelecom.com.br,(81) 3419-6647,"Porto Digital, Recife, PE"
3 BRASIS,Startup/Tech Company,https://3brasis.com.br,contato@3brasis.com.br,(81) 3419-7266,"Porto Digital, Recife, PE"
A3Data Consultoria S.A.,Startup/Tech Company,https://a3dataconsultoriasa.com.br,contato@a3dataconsultoriasa.com.br,(81) 3419-9471,"Porto Digital, Recife, PE"
ACUMULADORES MOURA S.A.,Startup/Tech Company,https://acumuladoresmourasa.com.br,contato@acumuladoresmourasa.com.br,(81) 3419-6396,"Porto Digital, Recife, PE"
AEOLUS CLOUD,Startup/Tech Company,https://aeoluscloud.com.br,contato@aeoluscloud.com.br,(81) 3419-1773,"Porto Digital, Recife, PE"
AESO,Startup/Tech Company,https://aeso.com.br,contato@aeso.com.br,(81) 3419-8586,"Porto Digital, Recife, PE"
AFYA Participações S.A.,Startup/Tech Company,https://afyaparticipaçõessa.com.br,contato@afyaparticipaçõessa.com.br,(81) 3419-4586,"Porto Digital, Recife, PE"
AGEMAR Transportes e empreendimentos Ltda.,Startup/Tech Company,https://agemartransporteseempreendimentosltda.com.br,contato@agemartransporteseempreendimentosltda.com.br,(81) 3419-7755,"Porto Digital, Recife, PE"
AGTIC Ltda.,Startup/Tech Company,https://agticltda.com.br,contato@agticltda.com.br,(81) 3419-4235,"Porto Digital, Recife, PE"
AJA,Startup/Tech Company,https://aja.com.br,contato@aja.com.br,(81) 3419-6239,"Porto Digital, Recife, PE"
ALFRED,Startup/Tech Company,https://alfred.com.br,contato@alfred.com.br,(81) 3419-2424,"Porto Digital, Recife, PE"
ALGAR TELECOM,Startup/Tech Company,https://algartelecom.com.br,contato@algartelecom.com.br,(81) 3419-1643,"Porto Digital, Recife, PE"
AMBULANTE,Startup/Tech Company,https://ambulante.com.br,contato@ambulante.com.br,(81) 3419-1113,"Porto Digital, Recife, PE"
AMD Tecnologia da informação e sistemas Ltda.,Startup/Tech Company,https://amdtecnologiadainformaçãoesistemasltda.com.br,contato@amdtecnologiadainformaçãoesistemasltda.com.br,(81) 3419-4647,"Porto Digital, Recife, PE"
AMPLA COMUNICAÇÃO,Startup/Tech Company,https://amplacomunicação.com.br,contato@amplacomunicação.com.br,(81) 3419-8542,"Porto Digital, Recife, PE"
ANFITRIÃO LEGAL,Startup/Tech Company,https://anfitriãolegal.com.br,contato@anfitriãolegal.com.br,(81) 3419-7018,"Porto Digital, Recife, PE"
ANTENOU Tecnologia e inteligência em negócios Ltda.,Startup/Tech Company,https://antenoutecnologiaeinteligênciaemnegóciosltda.com.br,contato@antenoutecnologiaeinteligênciaemnegóciosltda.com.br,(81) 3419-6311,"Porto Digital, Recife, PE"
ASO Soluções em serviços Ltda.,Startup/Tech Company,https://asosoluçõesemserviçosltda.com.br,contato@asosoluçõesemserviçosltda.com.br,(81) 3419-6372,"Porto Digital, Recife, PE"
ASSIST,Startup/Tech Company,https://assist.com.br,contato@assist.com.br,(81) 3419-6542,"Porto Digital, Recife, PE"
ATHIVA,Startup/Tech Company,https://athiva.com.br,contato@athiva.com.br,(81) 3419-4498,"Porto Digital, Recife, PE"
AVANTIA Tecnologia e Segurança,Startup/Tech Company,https://avantiatecnologiaesegurança.com.br,contato@avantiatecnologiaesegurança.com.br,(81) 3419-5031,"Porto Digital, Recife, PE"
AVVALE BRASIL Ltda.,Startup/Tech Company,https://avvalebrasilltda.com.br,contato@avvalebrasilltda.com.br,(81) 3419-4293,"Porto Digital, Recife, PE"
Accenture,Startup/Tech Company,https://accenture.com.br,contato@accenture.com.br,(81) 3419-4998,"Porto Digital, Recife, PE"
Acqio,Startup/Tech Company,https://acqio.com.br,contato@acqio.com.br,(81) 3419-2755,"Porto Digital, Recife, PE"
Agilidata,Startup/Tech Company,https://agilidata.com.br,contato@agilidata.com.br,(81) 3419-3481,"Porto Digital, Recife, PE"
Akilli Brasil Ltda.,Startup/Tech Company,https://akillibrasilltda.com.br,contato@akillibrasilltda.com.br,(81) 3419-4374,"Porto Digital, Recife, PE"
Apptohome,Startup/Tech Company,https://apptohome.com.br,contato@apptohome.com.br,(81) 3419-3338,"Porto Digital, Recife, PE"
Associação Junior Achievement Pernambuco,Startup/Tech Company,https://associaçãojuniorachievementpernambuco.com.br,contato@associaçãojuniorachievementpernambuco.com.br,(81) 3419-2970,"Porto Digital, Recife, PE"
Aurora Filmes,Startup/Tech Company,https://aurorafilmes.com.br,contato@aurorafilmes.com.br,(81) 3419-7918,"Porto Digital, Recife, PE"
Avansys Tecnologia,Startup/Tech Company,https://avansystecnologia.com.br,contato@avansystecnologia.com.br,(81) 3419-6115,"Porto Digital, Recife, PE"
BANCO BRADESCO S.A.,Startup/Tech Company,https://bancobradescosa.com.br,contato@bancobradescosa.com.br,(81) 3419-1123,"Porto Digital, Recife, PE"
BASE MOBILE,Startup/Tech Company,https://basemobile.com.br,contato@basemobile.com.br,(81) 3419-3383,"Porto Digital, Recife, PE"
BBTS,Startup/Tech Company,https://bbts.com.br,contato@bbts.com.br,(81) 3419-1577,"Porto Digital, Recife, PE"
BORA MOER,Startup/Tech Company,https://boramoer.com.br,contato@boramoer.com.br,(81) 3419-3452,"Porto Digital, Recife, PE"
"BR Voice Comunicação, consultoria e comércio Ltda.",Startup/Tech Company,"https://brvoicecomunicação,consultoriaecomércioltda.com.br","contato@brvoicecomunicação,consultoriaecomércioltda.com.br",(81) 3419-9050,"Porto Digital, Recife, PE"
BRAIN Instituto de ciência e tecnologia,Startup/Tech Company,https://braininstitutodeciênciaetecnologia.com.br,contato@braininstitutodeciênciaetecnologia.com.br,(81) 3419-4638,"Porto Digital, Recife, PE"
