Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
Ministry of Foreign Affairs Beijing - Beijing,Public Affairs,info@mfa.gov.cn,+86 10 6596 3100,mfa.gov.cn,1,Government,China,Foreign ministry CT,websearch_2026_china_gov
Ministry of National Defense Beijing - Beijing,Public Affairs,contact@mod.gov.cn,+86 10 6685 3100,mod.gov.cn,1,Government,China,Defense ministry CT,websearch_2026_china_gov
Ministry of Public Security Beijing - Beijing,Public Affairs,info@mps.gov.cn,+86 10 6626 3100,mps.gov.cn,1,Government,China,Public security CT,websearch_2026_china_gov
MSS Headquarters Beijing - Beijing,Public Affairs,info@mss.gov.cn,+86 10 6307 3300,mss.gov.cn,1,Intelligence,China,State security HQ CT,websearch_2026_china_gov
NDRC Beijing - Beijing,Public Affairs,info@ndrc.gov.cn,+86 10 6850 3100,ndrc.gov.cn,1,Government,China,Development reform CT,websearch_2026_china_gov
Ministry of Finance Beijing - Beijing,Public Affairs,info@mof.gov.cn,+86 10 6855 3100,mof.gov.cn,1,Government,China,Finance ministry CT,websearch_2026_china_gov
Ministry of Commerce Beijing - Beijing,Public Affairs,info@mofcom.gov.cn,+86 10 6519 3100,mofcom.gov.cn,1,Government,China,Commerce ministry CT,websearch_2026_china_gov
MIIT Beijing - Beijing,Public Affairs,info@miit.gov.cn,+86 10 6601 3100,miit.gov.cn,1,Government,China,Industry IT CT,websearch_2026_china_gov
Ministry of Science Beijing - Beijing,Public Affairs,info@most.gov.cn,+86 10 5888 3100,most.gov.cn,1,Government,China,Science tech CT,websearch_2026_china_gov
Ministry of Education Beijing - Beijing,Public Affairs,info@moe.gov.cn,+86 10 6609 3100,moe.gov.cn,1,Government,China,Education ministry CT,websearch_2026_china_gov
National Health Commission Beijing - Beijing,Public Affairs,info@nhc.gov.cn,+86 10 6879 3100,nhc.gov.cn,1,Government,China,Health commission CT,websearch_2026_china_gov
MOHRSS Beijing - Beijing,Public Affairs,info@mohrss.gov.cn,+86 10 8420 3100,mohrss.gov.cn,1,Government,China,Human resources CT,websearch_2026_china_gov
Ministry of Civil Affairs Beijing - Beijing,Public Affairs,info@mca.gov.cn,+86 10 5812 3100,mca.gov.cn,1,Government,China,Civil affairs CT,websearch_2026_china_gov
