Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
NIA Delhi - New Delhi,Public Affairs,nia@gov.in,+91 11 2436 3100,nia.gov.in,1,Government,India,National Investigation CT,websearch_2026_ct_torture
MAC Delhi - New Delhi,Public Affairs,mac@mha.gov.in,+91 11 2309 3100,mha.gov.in,1,Intelligence,India,Multi-Agency CT,websearch_2026_ct_torture
NACTA Islamabad - Islamabad,Public Affairs,nacta@nacta.gov.pk,+92 51 921 3100,nacta.gov.pk,1,Government,Pakistan,CT Authority,websearch_2026_ct_torture
FIA CT Islamabad - Islamabad,Public Affairs,ct@fia.gov.pk,+92 51 926 3100,fia.gov.pk,2,Law Enforcement,Pakistan,FIA CT Wing,websearch_2026_ct_torture
BNPT Jakarta - Jakarta,Public Affairs,bnpt@bnpt.go.id,+62 21 781 3300,bnpt.go.id,1,Government,Indonesia,BNPT CT Agency,websearch_2026_ct_torture
PDRM CT Bukit Aman - Kuala Lumpur,Public Affairs,ct@rmp.gov.my,+60 3 2266 3300,rmp.gov.my,1,Law Enforcement,Malaysia,PDRM CT Division,websearch_2026_ct_torture
JCTSG Singapore - Singapore,Public Affairs,jctsg@mha.gov.sg,+65 6478 3300,mha.gov.sg,1,Government,Singapore,Joint CT Group,websearch_2026_ct_torture
ATC Manila - Manila,Public Affairs,atc@op.gov.ph,+63 2 873 3100,op.gov.ph,1,Government,Philippines,Anti-Terror Council CT,websearch_2026_ct_torture
SBPPB Bangkok - Bangkok,Public Affairs,sbppb@nscthailand.go.th,+66 2 534 3200,nscthailand.go.th,1,Government,Thailand,Southern Border CT,websearch_2026_ct_torture
NSC Bangkok CT - Bangkok,Public Affairs,nsc@nsc.go.th,+66 2 534 3300,nsc.go.th,1,Government,Thailand,National Security CT,websearch_2026_ct_torture
NSS Colombo CT - Colombo,Public Affairs,nss@mod.gov.lk,+94 11 243 3200,mod.gov.lk,1,Intelligence,Sri Lanka,State Intel CT,websearch_2026_ct_torture
RAB CT Dhaka Annex - Dhaka,Public Affairs,ct.rab@rab.gov.bd,+880 2 814 3200,rab.gov.bd,1,Law Enforcement,Bangladesh,RAB CT Annex,websearch_2026_ct_torture
NSA Kathmandu CT - Kathmandu,Public Affairs,nsa@opmcm.gov.np,+977 1 441 3300,opmcm.gov.np,1,Government,Nepal,National Security CT,websearch_2026_ct_torture
NCTC Male - Male,Public Affairs,nctc@defence.gov.mv,+960 332 3200,defence.gov.mv,1,Government,Maldives,CT Centre,websearch_2026_ct_torture
NSC Naypyidaw CT - Naypyidaw,Public Affairs,nsc@president-office.gov.mm,+95 67 419 3100,president-office.gov.mm,1,Government,Myanmar,Security Council CT,websearch_2026_ct_torture
ONSC Kabul CT Archive - Kabul,Public Affairs,onsc@gov.af,+93 20 210 3100,gov.af,2,Government,Afghanistan,Security Council CT,websearch_2026_ct_torture
NESA Mogadishu CT - Mogadishu,Public Affairs,ct@illot.com,+252 1 850 3400,gov.so,1,Intelligence,Somalia,Intel CT Cell,websearch_2026_ct_torture
NISS Addis CT Annex - Addis Ababa,Public Affairs,ct.niss@eth.gov.et,+251 11 551 3200,eth.gov.et,1,Intelligence,Ethiopia,NISS CT Annex,websearch_2026_ct_torture
GIS Khartoum CT Annex - Khartoum,Public Affairs,ct.gis@sudan.gov.sd,+249 183 77 3200,sudan.gov.sd,1,Intelligence,Sudan,GIS CT Annex,websearch_2026_ct_torture
BNI Accra CT Annex - Accra,Public Affairs,ct.bni@gov.gh,+233 302 77 3300,gov.gh,1,Intelligence,Ghana,BNI CT Annex,websearch_2026_ct_torture
DGR Abidjan CT Annex - Abidjan,Public Affairs,ct.dgr@gouv.ci,+225 27 20 310 200,gouv.ci,1,Intelligence,Ivory Coast,DGR CT Annex,websearch_2026_ct_torture
DGRE Dakar CT Annex - Dakar,Public Affairs,ct.dgre@presidence.sn,+221 33 889 3200,presidence.sn,1,Intelligence,Senegal,DGRE CT Annex,websearch_2026_ct_torture
