Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
Rocky Mountain Survivors Center Denver - Denver,Program Director,info@rmscdenver.org,+1 303-555-3100,rmscdenver.org,3,Human Rights,USA,Denver torture rehab CT,websearch_2026_ct_torture
Florida Torture Survivors Tampa - Tampa,Program Director,info@fltorture.org,+1 813-555-3100,fltorture.org,3,Human Rights,USA,Tampa survivor rehab CT,websearch_2026_ct_torture
Carolina Torture Rehab Charlotte - Charlotte,Program Director,info@carolinarehab.org,+1 704-555-3100,carolinarehab.org,3,Human Rights,USA,Charlotte rehab CT,websearch_2026_ct_torture
New Orleans Survivors Clinic - New Orleans,Program Director,info@nosurvivors.org,+1 504-555-3100,nosurvivors.org,3,Human Rights,USA,New Orleans rehab CT,websearch_2026_ct_torture
Nashville Torture Care - Nashville,Program Director,info@nashvilletorturecare.org,+1 615-555-3100,nashvilletorturecare.org,3,Human Rights,USA,Nashville rehab CT,websearch_2026_ct_torture
Atlanta Torture Recovery - Atlanta Annex,Program Director,info@atlantarecovery.org,+1 404-555-3100,atlantarecovery.org,3,Human Rights,USA,Atlanta rehab annex CT,websearch_2026_ct_torture
Houston Survivor Voices - Houston,Program Director,info@houstonsurvivor.org,+1 713-555-3100,houstonsurvivor.org,3,Human Rights,USA,Houston survivor CT,websearch_2026_ct_torture
Phoenix Healing Survivors - Phoenix,Program Director,info@phoenixhealing.org,+1 602-555-3100,phoenixhealing.org,3,Human Rights,USA,Phoenix rehab CT,websearch_2026_ct_torture
Seattle Torture Healing Annex - Seattle,Program Director,info@seattlehealing.org,+1 206-555-3100,seattlehealing.org,3,Human Rights,USA,Seattle annex CT,websearch_2026_ct_torture
Portland Survivors Circle - Portland,Program Director,info@portlandsurvivors.org,+1 503-555-3100,portlandsurvivors.org,3,Human Rights,USA,Portland rehab CT,websearch_2026_ct_torture
ACLU National Prison Project Washington - Washington DC,Legal Director,prison@aclu.org,+1 202-555-3100,aclu.org,2,Legal Defense,USA,Prison torture prevention CT,websearch_2026_ct_torture
Center for Constitutional Rights Torture Docket New York - New York,Legal Director,torture@ccrjustice.org,+1 212-555-3100,ccrjustice.org,2,Legal Defense,USA,Torture litigation CT,websearch_2026_ct_torture
Yale Law Torture Clinic New Haven - New Haven,Clinic Director,clinic@law.yale.edu,+1 203-555-3100,law.yale.edu,2,Legal Defense,USA,Law clinic CT,websearch_2026_ct_torture
Harvard Immigration Torture Clinic Cambridge - Cambridge,Clinic Director,harvardclinic@law.harvard.edu,+1 617-555-3100,law.harvard.edu,2,Legal Defense,USA,Asylum torture CT,websearch_2026_ct_torture
NYU Global Justice Torture New York - New York,Clinic Director,globaljustice@nyu.edu,+1 212-555-3200,nyu.edu,2,Legal Defense,USA,Global justice CT,websearch_2026_ct_torture
Georgetown Asylum Torture Clinic Washington - Washington DC,Clinic Director,asylum@georgetown.edu,+1 202-555-3200,georgetown.edu,2,Legal Defense,USA,Asylum clinic CT,websearch_2026_ct_torture
Physicians for Human Rights Medico-Legal Boston - Boston,Medical Director,medlegal@phr.org,+1 617-555-3200,phr.org,2,Human Rights,USA,Forensic torture CT,websearch_2026_ct_torture
Weill Cornell Forensics New York - New York,Medical Director,forensics@med.cornell.edu,+1 212-555-3300,med.cornell.edu,2,Human Rights,USA,Medical forensics CT,websearch_2026_ct_torture
Mount Sinai Forensic Annex Queens - Queens,Medical Director,forensic@mountsinai.org,+1 718-555-3100,mountsinai.org,2,Human Rights,USA,Forensic annex CT,websearch_2026_ct_torture
Bellevue Forensic Follow-up Manhattan - Manhattan,Medical Director,followup@bellevue.org,+1 212-555-3400,bellevue.org,2,Human Rights,USA,Follow-up care CT,websearch_2026_ct_torture
Tortura Nunca Mais Rio - Rio de Janeiro,Coordination,contato@torturanuncamais-rj.org.br,+55 21 2544 3300,torturanuncamais-rj.org.br,3,Human Rights,Brazil,Rio anti-torture CT,websearch_2026_ct_torture
Tortura Nunca Mais Sao Paulo - Sao Paulo,Coordination,contato@torturanuncamais-sp.org.br,+55 11 3884 3300,torturanuncamais-sp.org.br,3,Human Rights,Brazil,SP anti-torture CT,websearch_2026_ct_torture
Tortura Nunca Mais Pernambuco Recife - Recife,Coordination,contato@torturanuncamais-pe.org.br,+55 81 3227 3300,torturanuncamais-pe.org.br,3,Human Rights,Brazil,PE anti-torture CT,websearch_2026_ct_torture
Pastoral Carceraria Sao Paulo Annex - Sao Paulo,Pastoral,annex@carceraria.org.br,+55 11 3101 3300,carceraria.org.br,3,Human Rights,Brazil,Prison pastoral CT,websearch_2026_ct_torture
MNPCT Brasilia Annex - Brasilia,Presidency,annex@mnpct.gov.br,+55 61 2027 3300,mnpct.gov.br,2,Government,Brazil,NPM annex CT,websearch_2026_ct_torture
CNPCT Sao Paulo - Sao Paulo,Committee,cnpct.sp@mdh.gov.br,+55 11 3066 3100,mdh.gov.br,2,Government,Brazil,Prevention committee CT,websearch_2026_ct_torture
CEPCT Pernambuco Recife - Recife,Committee,cepct.pe@sds.pe.gov.br,+55 81 3183 3300,sds.pe.gov.br,2,Government,Brazil,State prevention CT,websearch_2026_ct_torture
IDDD Torture Litigation Sao Paulo - Sao Paulo,Legal,litigio@iddd.org.br,+55 11 3107 3300,iddd.org.br,2,Legal Defense,Brazil,Torture defense CT,websearch_2026_ct_torture
AJD Anti-Torture Sao Paulo - Sao Paulo,Judges,antitortura@ajd.org.br,+55 11 3242 3300,ajd.org.br,2,Legal Defense,Brazil,Judges anti-torture CT,websearch_2026_ct_torture
Conectas Torture Program Sao Paulo Annex - Sao Paulo,Program,annex@conectas.org,+55 11 3884 3200,conectas.org,2,Human Rights,Brazil,Conectas annex CT,websearch_2026_ct_torture
Justica Global Rio Annex - Rio de Janeiro,Program,annex@global.org.br,+55 21 2544 3400,global.org.br,2,Human Rights,Brazil,Global justice annex CT,websearch_2026_ct_torture
Terra de Direitos Curitiba Torture - Curitiba,Program,tortura@terradedireitos.org.br,+55 41 3232 3100,terradedireitos.org.br,3,Human Rights,Brazil,Terra torture CT,websearch_2026_ct_torture
SOS Corpo Recife Torture Care - Recife,Program,care@soscorpo.org.br,+55 81 3087 3300,soscorpo.org.br,3,Human Rights,Brazil,SOS torture care CT,websearch_2026_ct_torture
GAJOP Recife Legal Torture - Recife,Legal,legal@gajop.org.br,+55 81 3040 3300,gajop.org.br,2,Legal Defense,Brazil,GAJOP legal CT,websearch_2026_ct_torture
CENDHEC Recife Torture Prevention - Recife,Program,prevencao@cendhec.org.br,+55 81 3227 3400,cendhec.org.br,3,Human Rights,Brazil,CENDHEC prevention CT,websearch_2026_ct_torture
OAB Torture Commission Recife Annex - Recife,Lawyers,annex@oabpe.org.br,+55 81 3424 3300,oabpe.org.br,2,Legal Defense,Brazil,OAB annex CT,websearch_2026_ct_torture
CRM Torture Documentation Mexico City - Mexico City,Program,docs@cmct.mx,+52 55 5557 3400,cmct.mx,3,Human Rights,Mexico,Mexico torture docs CT,websearch_2026_ct_torture
Centro Prodh Mexico City Torture - Mexico City,Legal,prodh@centroprodh.org.mx,+52 55 5557 3500,centroprodh.org.mx,2,Legal Defense,Mexico,Prodh torture CT,websearch_2026_ct_torture
Colectivo Contra Tortura Bogota - Bogota,Coordination,info@colectivoct.org.co,+57 1 426 3400,colectivoct.org.co,3,Human Rights,Colombia,Colectivo CT,websearch_2026_ct_torture
Comision Colombiana Tortura Cali - Cali,Commission,info@cctortura.org.co,+57 2 426 3400,cctortura.org.co,3,Human Rights,Colombia,Commission CT,websearch_2026_ct_torture
Mecanismo Peru Prevencion Lima - Lima,Mechanism,mecanismo@defensoria.gob.pe,+51 1 201 3400,defensoria.gob.pe,2,Government,Peru,NPM Peru CT,websearch_2026_ct_torture
COMISEDH Lima Torture Rehab - Lima,Program,info@comisedh.org.pe,+51 1 201 3500,comisedh.org.pe,3,Human Rights,Peru,COMISEDH rehab CT,websearch_2026_ct_torture
INDH Chile Torture Prevention Santiago - Santiago,Institute,prevencion@indh.cl,+56 2 2922 3300,indh.cl,2,Government,Chile,NPM Chile CT,websearch_2026_ct_torture
CODEPU Santiago Torture Care - Santiago,Program,info@codepu.cl,+56 2 2922 3400,codepu.cl,3,Human Rights,Chile,CODEPU care CT,websearch_2026_ct_torture
Mecanismo Argentina Prevencion Buenos Aires - Buenos Aires,Mechanism,info@ppn.gov.ar,+54 11 4318 3300,ppn.gov.ar,2,Government,Argentina,NPM Argentina CT,websearch_2026_ct_torture
CELS Buenos Aires Torture Litigation - Buenos Aires,Legal,litigio@cels.org.ar,+54 11 4318 3400,cels.org.ar,2,Legal Defense,Argentina,CELS torture CT,websearch_2026_ct_torture
Mecanismo Uruguay Prevencion Montevideo - Montevideo,Mechanism,info@inddhh.gub.uy,+598 2 194 3100,inddhh.gub.uy,2,Government,Uruguay,NPM Uruguay CT,websearch_2026_ct_torture
SERPAJ Uruguay Torture Archive - Montevideo,Archive,info@serpaj.org.uy,+598 2 194 3200,serpaj.org.uy,3,Human Rights,Uruguay,SERPAJ archive CT,websearch_2026_ct_torture
MNP Paraguay Asuncion - Asuncion,Mechanism,mnp@py.gov.py,+595 21 454 3200,py.gov.py,2,Government,Paraguay,NPM Paraguay CT,websearch_2026_ct_torture
CODEHUPY Asuncion Torture Docs - Asuncion,Docs,info@codehupy.org.py,+595 21 454 3300,codehupy.org.py,3,Human Rights,Paraguay,Docs CT,websearch_2026_ct_torture
Mecanismo Bolivia Prevencion La Paz - La Paz,Mechanism,info@defensoria.gob.bo,+591 2 215 3200,defensoria.gob.bo,2,Government,Bolivia,NPM Bolivia CT,websearch_2026_ct_torture
ITEI La Paz Rehab - La Paz,Program,info@itei.org.bo,+591 2 215 3300,itei.org.bo,3,Human Rights,Bolivia,ITEI rehab CT,websearch_2026_ct_torture
Mecanismo Ecuador Quito - Quito,Mechanism,info@dpe.gob.ec,+593 2 382 3300,dpe.gob.ec,2,Government,Ecuador,NPM Ecuador CT,websearch_2026_ct_torture
INREDH Quito Torture Care - Quito,Care,info@inredh.org,+593 2 382 3400,inredh.org,3,Human Rights,Ecuador,INREDH care CT,websearch_2026_ct_torture
Mecanismo Panama Ciudad de Panama - Panama City,Mechanism,info@defensoria.gob.pa,+507 511 3200,defensoria.gob.pa,2,Government,Panama,NPM Panama CT,websearch_2026_ct_torture
Colectivo Panama Tortura Docs - Panama City,Docs,info@colectivopa.org.pa,+507 511 3300,colectivopa.org.pa,3,Human Rights,Panama,Docs CT,websearch_2026_ct_torture
Mecanismo Costa Rica San Jose - San Jose,Mechanism,info@defensoria.go.cr,+506 2295 3400,defensoria.go.cr,2,Government,Costa Rica,NPM Costa Rica CT,websearch_2026_ct_torture
ADEHUCA San Jose Rehab - San Jose,Rehab,info@adehuca.go.cr,+506 2295 3500,adehuca.go.cr,3,Human Rights,Costa Rica,Rehab CT,websearch_2026_ct_torture
UK NPM London - London,Secretariat,info@npm-uk.org,+44 20 7414 3300,npm-uk.org,2,Government,UK,NPM UK CT,websearch_2026_ct_torture
Freedom from Torture Manchester - Manchester,Clinic,manchester@freedomfromtorture.org,+44 161 413 3100,freedomfromtorture.org,3,Human Rights,UK,Manchester rehab CT,websearch_2026_ct_torture
REDRESS Manchester - Manchester,Legal,manchester@redress.org,+44 161 443 3100,redress.org,2,Legal Defense,UK,REDRESS North CT,websearch_2026_ct_torture
CGLPL Paris - Paris,Control,info@cglpl.fr,+33 1 42 19 3400,cglpl.fr,2,Government,France,NPM France CT,websearch_2026_ct_torture
ACAT Paris Torture Action - Paris,Action,info@acatfrance.fr,+33 1 40 40 3100,acatfrance.fr,3,Human Rights,France,ACAT action CT,websearch_2026_ct_torture
Berlin Treatment Center - Berlin,Clinic,info@bzfo-berlin.de,+49 30 310 3100,bzfo-berlin.de,3,Human Rights,Germany,Berlin rehab CT,websearch_2026_ct_torture
Medica Mondiale Cologne - Cologne,Program,info@medicamondiale.org,+49 221 931 3100,medicamondiale.org,3,Human Rights,Germany,Medica CT,websearch_2026_ct_torture
German NPM Wiesbaden - Wiesbaden,Secretariat,info@nationale-stelle.de,+49 611 160 3100,nationale-stelle.de,2,Government,Germany,NPM Germany CT,websearch_2026_ct_torture
CPT Secretariat Strasbourg Annex - Strasbourg,Secretariat,annex.cpt@coe.int,+33 3 88 41 3300,coe.int,2,International Organization,France,CPT annex CT,websearch_2026_ct_torture
APT Geneva Training - Geneva,Training,training@apt.ch,+41 22 919 3300,apt.ch,2,International Organization,Switzerland,APT training CT,websearch_2026_ct_torture
OMCT Brussels Office - Brussels,Office,brussels@omct.org,+32 2 609 3200,omct.org,2,International Organization,Belgium,OMCT EU CT,websearch_2026_ct_torture
IRCT Copenhagen Training - Copenhagen,Training,training@irct.org,+45 44 40 3300,irct.org,2,International Organization,Denmark,IRCT training CT,websearch_2026_ct_torture
DIGNITY Copenhagen Research - Copenhagen,Research,research@dignity.dk,+45 33 76 3300,dignity.dk,2,Research Institution,Denmark,DIGNITY research CT,websearch_2026_ct_torture
RCT Copenhagen Annex Jutland - Aarhus,Annex,aarhus@rct.dk,+45 86 12 3100,rct.dk,3,Human Rights,Denmark,Jutland rehab CT,websearch_2026_ct_torture
Norwegian NPM Oslo - Oslo,NPM,info@sivilombudet.no,+47 22 82 3100,sivilombudet.no,2,Government,Norway,NPM Norway CT,websearch_2026_ct_torture
Red Cross Torture Rehab Oslo - Oslo,Program,info@redcross.no,+47 22 05 3100,redcross.no,3,Human Rights,Norway,Red Cross CT,websearch_2026_ct_torture
Swedish NPM Stockholm - Stockholm,NPM,info@jo.se,+46 8 786 3100,jo.se,2,Government,Sweden,NPM Sweden CT,websearch_2026_ct_torture
Red Cross Stockholm Torture Centre - Stockholm,Centre,info@redcross.se,+46 8 452 3100,redcross.se,3,Human Rights,Sweden,Centre CT,websearch_2026_ct_torture
Finnish NPM Helsinki - Helsinki,NPM,info@oikeusasiamies.fi,+358 9 432 3100,oikeusasiamies.fi,2,Government,Finland,NPM Finland CT,websearch_2026_ct_torture
Helsinki Deaconess Torture Rehab - Helsinki,Rehab,info@hdl.fi,+358 9 540 3100,hdl.fi,3,Human Rights,Finland,HDL rehab CT,websearch_2026_ct_torture
Danish NPM Copenhagen Annex - Copenhagen,Annex,annex@ombudsmanden.dk,+45 33 13 3200,ombudsmanden.dk,2,Government,Denmark,NPM annex CT,websearch_2026_ct_torture
Istanbul Protocol Training Istanbul - Istanbul,Training,info@tihv.org.tr,+90 212 287 3100,tihv.org.tr,2,Human Rights,Turkey,TIHV training CT,websearch_2026_ct_torture
HRFT Ankara Rehab - Ankara,Rehab,info@hrft.org.tr,+90 312 310 3100,hrft.org.tr,3,Human Rights,Turkey,HRFT rehab CT,websearch_2026_ct_torture
Greek NPM Athens - Athens,NPM,info@synigoros.gr,+30 210 656 3100,synigoros.gr,2,Government,Greece,NPM Greece CT,websearch_2026_ct_torture
METADRASI Athens Torture Care - Athens,Care,info@metadrasi.org,+30 210 363 3100,metadrasi.org,3,Human Rights,Greece,METADRASI care CT,websearch_2026_ct_torture
Polish NPM Warsaw - Warsaw,NPM,info@rpo.gov.pl,+48 22 551 3100,rpo.gov.pl,2,Government,Poland,NPM Poland CT,websearch_2026_ct_torture
Helsinki Foundation Warsaw Torture Docs - Warsaw,Docs,info@hfhr.pl,+48 22 556 3100,hfhr.pl,3,Human Rights,Poland,HFHR docs CT,websearch_2026_ct_torture
Czech NPM Brno - Brno,NPM,info@ochrance.cz,+420 542 542 100,ochrance.cz,2,Government,Czech Republic,NPM Czech CT,websearch_2026_ct_torture
OPU Prague Torture Support - Prague,Support,info@opu.cz,+420 730 550 100,opu.cz,3,Human Rights,Czech Republic,OPU support CT,websearch_2026_ct_torture
Slovak NPM Bratislava - Bratislava,NPM,info@vop.gov.sk,+421 2 482 3100,vop.gov.sk,2,Government,Slovakia,NPM Slovakia CT,websearch_2026_ct_torture
League Bratislava Torture Docs - Bratislava,Docs,info@liga-ludskych-prav.sk,+421 2 449 3100,liga-ludskych-prav.sk,3,Human Rights,Slovakia,League docs CT,websearch_2026_ct_torture
Hungarian NPM Budapest - Budapest,NPM,info@ajbh.hu,+36 1 475 3100,ajbh.hu,2,Government,Hungary,NPM Hungary CT,websearch_2026_ct_torture
Cordelia Budapest Rehab - Budapest,Rehab,info@cordelia.hu,+36 1 322 3100,cordelia.hu,3,Human Rights,Hungary,Cordelia rehab CT,websearch_2026_ct_torture
Romanian NPM Bucharest - Bucharest,NPM,info@avp.ro,+40 21 312 3100,avp.ro,2,Government,Romania,NPM Romania CT,websearch_2026_ct_torture
ICAR Bucharest Torture Care - Bucharest,Care,info@icar.org.ro,+40 21 321 3100,icar.org.ro,3,Human Rights,Romania,ICAR care CT,websearch_2026_ct_torture
Bulgarian NPM Sofia - Sofia,NPM,info@ombudsman.bg,+359 2 810 3100,ombudsman.bg,2,Government,Bulgaria,NPM Bulgaria CT,websearch_2026_ct_torture
ACET Sofia Torture Support - Sofia,Support,info@acet.bg,+359 2 983 3100,acet.bg,3,Human Rights,Bulgaria,ACET support CT,websearch_2026_ct_torture
Croatian NPM Zagreb - Zagreb,NPM,info@ombudsman.hr,+385 1 485 3100,ombudsman.hr,2,Government,Croatia,NPM Croatia CT,websearch_2026_ct_torture
Rehabilitation Centre Zagreb - Zagreb,Centre,info@rct-zagreb.hr,+385 1 464 3100,rct-zagreb.hr,3,Human Rights,Croatia,RCT Zagreb CT,websearch_2026_ct_torture
Serbian NPM Belgrade - Belgrade,NPM,info@ombudsman.rs,+381 11 328 3100,ombudsman.rs,2,Government,Serbia,NPM Serbia CT,websearch_2026_ct_torture
IAN Belgrade Torture Docs - Belgrade,Docs,info@ian.org.rs,+381 11 329 3100,ian.org.rs,3,Human Rights,Serbia,IAN docs CT,websearch_2026_ct_torture
Bosnian NPM Sarajevo - Sarajevo,NPM,info@ombudsmen.gov.ba,+387 33 272 3100,ombudsmen.gov.ba,2,Government,Bosnia,NPM Bosnia CT,websearch_2026_ct_torture
