Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
TPO Kathmandu Torture Rehab - Kathmandu,Program,info@tpo.org.np,+977 1 443 3100,tpo.org.np,3,Human Rights,Nepal,TPO rehab CT,websearch_2026_ct_torture
WOREC Kathmandu Torture Docs - Kathmandu,Docs,info@worec.org,+977 1 500 3100,worec.org,3,Human Rights,Nepal,WOREC docs CT,websearch_2026_ct_torture
Odhikar Dhaka Torture Docs - Dhaka,Docs,info@odhikar.org,+880 2 911 3100,odhikar.org,3,Human Rights,Bangladesh,Odhikar docs CT,websearch_2026_ct_torture
BLAST Dhaka Legal Torture - Dhaka,Legal,info@blast.org.bd,+880 2 812 3100,blast.org.bd,2,Legal Defense,Bangladesh,BLAST legal CT,websearch_2026_ct_torture
HRC Colombo Torture Prevention - Colombo,Commission,info@hrcsl.lk,+94 11 250 3100,hrcsl.lk,2,Government,Sri Lanka,HRC prevention CT,websearch_2026_ct_torture
NPP Colombo Rehab - Colombo,Rehab,info@npp.gov.lk,+94 11 251 3100,npp.gov.lk,3,Human Rights,Sri Lanka,NPP rehab CT,websearch_2026_ct_torture
NPM Male - Male,Mechanism,info@hrcm.org.mv,+960 332 3300,hrcm.org.mv,2,Government,Maldives,NPM Maldives CT,websearch_2026_ct_torture
MNHRC Naypyidaw Prevention - Naypyidaw,Commission,info@mnhrc.org.mm,+95 67 419 3200,mnhrc.org.mm,2,Government,Myanmar,MNHRC CT,websearch_2026_ct_torture
TPO Bangkok Torture Care - Bangkok,Care,info@tpo.org.th,+66 2 713 3100,tpo.org.th,3,Human Rights,Thailand,TPO care CT,websearch_2026_ct_torture
NHRC Bangkok Prevention - Bangkok,Commission,info@nhrc.or.th,+66 2 219 3100,nhrc.or.th,2,Government,Thailand,NHRC prevention CT,websearch_2026_ct_torture
SUHAKAM Kuala Lumpur Prevention - Kuala Lumpur,Commission,info@suhakam.org.my,+60 3 2612 3100,suhakam.org.my,2,Government,Malaysia,SUHAKAM CT,websearch_2026_ct_torture
