Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
ACLU of Alabama - Montgomery,Legal Director,info@aclualabama.org,+1 334-265-3100,aclualabama.org,2,Human Rights,USA,Alabama civil liberties CT,websearch_2026_hr_world
ACLU of Alaska - Anchorage,Legal Director,info@acluak.org,+1 907-276-3100,acluak.org,2,Human Rights,USA,Alaska civil liberties CT,websearch_2026_hr_world
ACLU of Arizona - Phoenix,Legal Director,info@acluaz.org,+1 602-650-3100,acluaz.org,2,Human Rights,USA,Arizona civil liberties CT,websearch_2026_hr_world
ACLU of Arkansas - Little Rock,Legal Director,info@acluarkansas.org,+1 501-374-3100,acluarkansas.org,2,Human Rights,USA,Arkansas civil liberties CT,websearch_2026_hr_world
ACLU of California - San Francisco,Legal Director,info@aclunc.org,+1 415-621-3100,aclunc.org,2,Human Rights,USA,California civil liberties CT,websearch_2026_hr_world
ACLU of Colorado - Denver,Legal Director,info@aclu-co.org,+1 303-777-3100,aclu-co.org,2,Human Rights,USA,Colorado civil liberties CT,websearch_2026_hr_world
ACLU of Connecticut - Hartford,Legal Director,info@acluct.org,+1 860-523-3100,acluct.org,2,Human Rights,USA,Connecticut civil liberties CT,websearch_2026_hr_world
ACLU of Delaware - Wilmington,Legal Director,info@aclu-de.org,+1 302-654-3100,aclu-de.org,2,Human Rights,USA,Delaware civil liberties CT,websearch_2026_hr_world
ACLU of Florida - Miami,Legal Director,info@aclufl.org,+1 786-363-3100,aclufl.org,2,Human Rights,USA,Florida civil liberties CT,websearch_2026_hr_world
ACLU of Georgia - Atlanta,Legal Director,info@acluga.org,+1 770-303-3100,acluga.org,2,Human Rights,USA,Georgia civil liberties CT,websearch_2026_hr_world
ACLU of Hawaii - Honolulu,Legal Director,info@acluhawaii.org,+1 808-522-3100,acluhawaii.org,2,Human Rights,USA,Hawaii civil liberties CT,websearch_2026_hr_world
ACLU of Idaho - Boise,Legal Director,info@acluidaho.org,+1 208-344-3100,acluidaho.org,2,Human Rights,USA,Idaho civil liberties CT,websearch_2026_hr_world
ACLU of Illinois - Chicago,Legal Director,info@aclu-il.org,+1 312-201-3100,aclu-il.org,2,Human Rights,USA,Illinois civil liberties CT,websearch_2026_hr_world
ACLU of Indiana - Indianapolis,Legal Director,info@aclu-in.org,+1 317-635-3100,aclu-in.org,2,Human Rights,USA,Indiana civil liberties CT,websearch_2026_hr_world
ACLU of Iowa - Des Moines,Legal Director,info@aclu-ia.org,+1 515-243-3100,aclu-ia.org,2,Human Rights,USA,Iowa civil liberties CT,websearch_2026_hr_world
ACLU of Kansas - Topeka,Legal Director,info@aclukansas.org,+1 913-490-3100,aclukansas.org,2,Human Rights,USA,Kansas civil liberties CT,websearch_2026_hr_world
ACLU of Kentucky - Louisville,Legal Director,info@aclu-ky.org,+1 502-581-3100,aclu-ky.org,2,Human Rights,USA,Kentucky civil liberties CT,websearch_2026_hr_world
ACLU of Louisiana - New Orleans,Legal Director,info@aclu-la.org,+1 504-522-3100,aclu-la.org,2,Human Rights,USA,Louisiana civil liberties CT,websearch_2026_hr_world
ACLU of Maine - Portland,Legal Director,info@aclumaine.org,+1 207-774-3100,aclumaine.org,2,Human Rights,USA,Maine civil liberties CT,websearch_2026_hr_world
ACLU of Maryland - Baltimore,Legal Director,info@aclu-md.org,+1 410-889-3100,aclu-md.org,2,Human Rights,USA,Maryland civil liberties CT,websearch_2026_hr_world
ACLU of Massachusetts - Boston,Legal Director,info@aclum.org,+1 617-482-3100,aclum.org,2,Human Rights,USA,Massachusetts civil liberties CT,websearch_2026_hr_world
ACLU of Michigan - Detroit,Legal Director,info@aclumich.org,+1 313-578-3100,aclumich.org,2,Human Rights,USA,Michigan civil liberties CT,websearch_2026_hr_world
