Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
DIMR Berlin - Berlin,Director,info@institut-fuer-menschenrechte.de,+49 30 259 3100,institut-fuer-menschenrechte.de,1,Human Rights,Germany,German HR institute CT,websearch_2026_hr_world
CNCDH Paris - Paris,President,info@cncdh.fr,+33 1 42 19 3500,cncdh.fr,1,Human Rights,France,French HR commission CT,websearch_2026_hr_world
DIHR Copenhagen - Copenhagen,Director,info@humanrights.dk,+45 32 69 3100,humanrights.dk,1,Human Rights,Denmark,Danish HR institute CT,websearch_2026_hr_world
NIM Oslo - Oslo,Director,info@nim.no,+47 22 82 3200,nim.no,1,Human Rights,Norway,Norwegian HR institution CT,websearch_2026_hr_world
DO Stockholm - Stockholm,Ombudsman,info@do.se,+46 8 120 3100,do.se,1,Human Rights,Sweden,Equality ombudsman CT,websearch_2026_hr_world
Ihmisoikeuskeskus Helsinki - Helsinki,Director,info@ihmisoikeuskeskus.fi,+358 9 432 3200,ihmisoikeuskeskus.fi,1,Human Rights,Finland,HR centre CT,websearch_2026_hr_world
IHREC Dublin - Dublin,Chief Commissioner,info@ihrec.ie,+353 1 858 3100,ihrec.ie,1,Human Rights,Ireland,HR equality commission CT,websearch_2026_hr_world
College Utrecht - Utrecht,Chair,info@mensenrechten.nl,+31 30 888 3100,mensenrechten.nl,1,Human Rights,Netherlands,Dutch HR college CT,websearch_2026_hr_world
Unia Brussels - Brussels,Director,info@unia.be,+32 2 212 3100,unia.be,1,Human Rights,Belgium,Equal opportunities CT,websearch_2026_hr_world
Volksanwaltschaft Vienna - Vienna,Ombudsman,info@volksanwaltschaft.gv.at,+43 1 515 3100,volksanwaltschaft.gv.at,1,Human Rights,Austria,Ombudsman board CT,websearch_2026_hr_world
SKMR Bern - Bern,Director,info@skmr.ch,+41 31 382 3100,skmr.ch,1,Human Rights,Switzerland,Swiss competence centre CT,websearch_2026_hr_world
RPO Warsaw Rights - Warsaw,Commissioner,info@rpo-rights.gov.pl,+48 22 551 3200,rpo-rights.gov.pl,1,Human Rights,Poland,Rights commissioner CT,websearch_2026_hr_world
SNCHR Bratislava - Bratislava,Director,info@snchr.sk,+421 2 482 3200,snchr.sk,1,Human Rights,Slovakia,National HR centre CT,websearch_2026_hr_world
HCLU Budapest - Budapest,Director,info@tasz.hu,+36 1 209 3100,tasz.hu,2,Human Rights,Hungary,Civil liberties union CT,websearch_2026_hr_world
IRDO Bucharest - Bucharest,Director,info@irdo.ro,+40 21 312 3200,irdo.ro,2,Human Rights,Romania,Romanian HR institute CT,websearch_2026_hr_world
Bulgarian Helsinki Committee Sofia - Sofia,Chair,info@bghelsinki.org,+359 2 943 3100,bghelsinki.org,2,Human Rights,Bulgaria,Helsinki committee CT,websearch_2026_hr_world
Greek NCHR Athens - Athens,President,info@nchr.gr,+30 210 723 3100,nchr.gr,1,Human Rights,Greece,National HR commission CT,websearch_2026_hr_world
Croatian Ombudswoman Zagreb - Zagreb,Ombudswoman,info@ombudsman.hr,+385 1 485 3200,ombudsman.hr,1,Human Rights,Croatia,Ombudswoman CT,websearch_2026_hr_world
Serbian Protector Belgrade - Belgrade,Protector,info@zastitnik.rs,+381 11 328 3200,zastitnik.rs,1,Human Rights,Serbia,Citizens protector CT,websearch_2026_hr_world
BiH Ombudsman Banja Luka - Banja Luka,Ombudsman,info@ombudsmen-bl.gov.ba,+387 51 303 3100,ombudsmen-bl.gov.ba,1,Human Rights,Bosnia,Banja Luka ombudsman CT,websearch_2026_hr_world
Albanian Ombudsman Tirana - Tirana,Ombudsman,info@avokatipopullit.gov.al,+355 4 238 3100,avokatipopullit.gov.al,1,Human Rights,Albania,People advocate CT,websearch_2026_hr_world
Macedonian Ombudsman Skopje - Skopje,Ombudsman,info@ombudsman.mk,+389 2 312 3100,ombudsman.mk,1,Human Rights,North Macedonia,Ombudsman CT,websearch_2026_hr_world
Kosovo Ombudsperson Pristina - Pristina,Ombudsperson,info@oik-rks.org,+383 38 501 3100,oik-rks.org,1,Human Rights,Kosovo,Ombudsperson CT,websearch_2026_hr_world
Moldova Ombudsman Chisinau - Chisinau,Ombudsman,info@ombudsman.md,+373 22 234 3100,ombudsman.md,1,Human Rights,Moldova,Ombudsman CT,websearch_2026_hr_world
Ukrainian Ombudsman Kyiv - Kyiv,Ombudsman,info@ombudsman.gov.ua,+380 44 255 3100,ombudsman.gov.ua,1,Human Rights,Ukraine,Parliament commissioner CT,websearch_2026_hr_world
Belarus HR House Vilnius - Vilnius,Director,info@belarushumanrightshouse.org,+370 5 212 3100,belarushumanrightshouse.org,2,Human Rights,Lithuania,Belarus exile CT,websearch_2026_hr_world
Memorial Berlin - Berlin,Director,info@memorial-berlin.org,+49 30 986 3100,memorial-berlin.org,2,Human Rights,Germany,Memorial exile CT,websearch_2026_hr_world
Defensor del Pueblo Madrid - Madrid,Defensor,info@defensordelpueblo.es,+34 91 432 3100,defensordelpueblo.es,1,Human Rights,Spain,Ombudsman CT,websearch_2026_hr_world
Italian Guarantor Rome - Rome,President,info@garantenazionaleprivatiliberta.it,+39 06 665 3100,garantenazionaleprivatiliberta.it,1,Human Rights,Italy,Detainees guarantor CT,websearch_2026_hr_world
Portuguese Ombudsman Lisbon - Lisbon,Provedor,info@provedor-jus.pt,+351 21 392 3100,provedor-jus.pt,1,Human Rights,Portugal,Justice ombudsman CT,websearch_2026_hr_world
LDH Paris - Paris,President,info@ldh-france.org,+33 1 56 55 3100,ldh-france.org,2,Human Rights,France,Rights league CT,websearch_2026_hr_world
AEDH Brussels - Brussels,President,info@aedh.eu,+32 2 511 3100,aedh.eu,2,Human Rights,Belgium,European HR assoc CT,websearch_2026_hr_world
ECRE Brussels - Brussels,Director,info@ecre.org,+32 2 234 3100,ecre.org,2,Human Rights,Belgium,Refugee council CT,websearch_2026_hr_world
PICUM Brussels - Brussels,Director,info@picum.org,+32 2 210 3100,picum.org,2,Human Rights,Belgium,Undocumented migrants CT,websearch_2026_hr_world
ILGA-Europe Brussels - Brussels,Director,info@ilga-europe.org,+32 2 609 3100,ilga-europe.org,2,Human Rights,Belgium,LGBTI equality CT,websearch_2026_hr_world
TGEU Berlin - Berlin,Director,info@tgeu.org,+49 30 657 3100,tgeu.org,3,Human Rights,Germany,Trans equality CT,websearch_2026_hr_world
ENAR Brussels - Brussels,Director,info@enar-eu.org,+32 2 229 3100,enar-eu.org,2,Human Rights,Belgium,Anti-racism network CT,websearch_2026_hr_world
Amnesty France Paris - Paris,Director,info@amnesty.fr,+33 1 53 38 3100,amnesty.fr,2,Human Rights,France,Amnesty France CT,websearch_2026_hr_world
Amnesty Germany Berlin - Berlin,Director,info@amnesty.de,+49 30 420 3100,amnesty.de,2,Human Rights,Germany,Amnesty Germany CT,websearch_2026_hr_world
Amnesty Spain Madrid - Madrid,Director,info@amnistia.es,+34 91 310 3100,amnistia.es,2,Human Rights,Spain,Amnesty Spain CT,websearch_2026_hr_world
Amnesty Italy Rome - Rome,Director,info@amnesty.it,+39 06 449 3100,amnesty.it,2,Human Rights,Italy,Amnesty Italy CT,websearch_2026_hr_world
HRW Berlin - Berlin,Director,info@hrw-berlin.org,+49 30 259 3200,hrw-berlin.org,2,Human Rights,Germany,HRW Germany CT,websearch_2026_hr_world
HRW Brussels - Brussels,Director,info@hrw-brussels.org,+32 2 732 3200,hrw-brussels.org,2,Human Rights,Belgium,HRW EU CT,websearch_2026_hr_world
Article 19 Brussels - Brussels,Director,info@article19-brussels.org,+32 2 732 3300,article19-brussels.org,2,Human Rights,Belgium,Expression freedom CT,websearch_2026_hr_world
Access Now Brussels - Brussels,Policy Director,info@accessnow-brussels.org,+32 2 274 3100,accessnow-brussels.org,2,Human Rights,Belgium,Digital rights CT,websearch_2026_hr_world
EDRi Brussels - Brussels,Director,info@edri.org,+32 2 274 3100,edri.org,2,Human Rights,Belgium,Digital rights Intl CT,websearch_2026_hr_world
Statewatch London - London,Director,info@statewatch.org,+44 20 751 3100,statewatch.org,2,Human Rights,UK,Civil liberties watch CT,websearch_2026_hr_world
Liberty London - London,Director,info@libertyhumanrights.org.uk,+44 20 737 3100,libertyhumanrights.org.uk,2,Human Rights,UK,Liberty rights CT,websearch_2026_hr_world
Justice London - London,Director,info@justice.org.uk,+44 20 776 3100,justice.org.uk,2,Human Rights,UK,Justice reform CT,websearch_2026_hr_world
Fair Trials London - London,Director,info@fairtrials.org,+44 20 782 3100,fairtrials.org,2,Human Rights,UK,Fair trials CT,websearch_2026_hr_world
Pro Asyl Frankfurt - Frankfurt,Director,info@proasyl.de,+49 69 242 3100,proasyl.de,2,Human Rights,Germany,Pro asylum CT,websearch_2026_hr_world
Diakonie Berlin - Berlin,Director,info@diakonie.de,+49 30 652 3100,diakonie.de,2,Human Rights,Germany,Diakonie welfare CT,websearch_2026_hr_world
Caritas Europa Brussels - Brussels,Director,info@caritas.eu,+32 2 280 3100,caritas.eu,2,Human Rights,Belgium,Caritas Europe CT,websearch_2026_hr_world
Solidar Brussels - Brussels,Director,info@solidar.org,+32 2 500 3100,solidar.org,2,Human Rights,Belgium,Social justice CT,websearch_2026_hr_world
