Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
SAHRC Johannesburg - Johannesburg,Chairperson,info@sahrc.org.za,+27 11 877 3100,sahrc.org.za,1,Human Rights,South Africa,HR commission CT,websearch_2026_hr_world
CIVICUS Johannesburg - Johannesburg,Secretary General,info@civicus.org,+27 11 833 3100,civicus.org,2,Human Rights,South Africa,Global civil society CT,websearch_2026_hr_world
KHRC Nairobi - Nairobi,Executive Director,info@khrc.or.ke,+27 11 833 3200,khrc.or.ke,2,Human Rights,Kenya,Kenya HR commission CT,websearch_2026_hr_world
HURINET-U Kampala - Kampala,Coordinator,info@hurinet.or.ug,+256 41 348 3300,hurinet.or.ug,2,Human Rights,Uganda,HR network CT,websearch_2026_hr_world
Chapter Four Uganda Kampala - Kampala,Director,info@chapterfouruganda.org,+256 41 348 3400,chapterfouruganda.org,2,Human Rights,Uganda,Chapter Four CT,websearch_2026_hr_world
LDGL Kigali - Kigali,Coordinator,info@ldgl.org,+250 252 570 300,ldgl.org,3,Human Rights,Rwanda,Ligue droits CT,websearch_2026_hr_world
FOCODE Bujumbura - Bujumbura,President,info@focode.org,+257 22 231 300,focode.org,2,Human Rights,Burundi,Forum conscience CT,websearch_2026_hr_world
ASADHO Kinshasa - Kinshasa,President,info@asadho.org,+243 81 556 3300,asadho.org,2,Human Rights,DR Congo,Associates defenders CT,websearch_2026_hr_world
CHRDA Buea - Buea,Director,info@chrda.org,+237 233 42 3200,chrda.org,2,Human Rights,Cameroon,Centre HR democracy CT,websearch_2026_hr_world
LTDH NDjamena - NDjamena,President,info@ltdh.td,+235 2251 3500,ltdh.td,2,Human Rights,Chad,Tchadienne HR CT,websearch_2026_hr_world
CODDHD Niamey - Niamey,Coordinator,info@coddhd.ne,+227 20 72 3300,coddhd.ne,3,Human Rights,Niger,Collective defence CT,websearch_2026_hr_world
AJCAD Bamako - Bamako,Coordinator,info@ajcad.ml,+223 2021 3400,ajcad.ml,3,Human Rights,Mali,Youth citizenship CT,websearch_2026_hr_world
TEMOIN Bamako - Bamako,Coordinator,info@temoin.ml,+223 2021 3500,temoin.ml,3,Human Rights,Mali,Witness association CT,websearch_2026_hr_world
CHRAJ Accra - Accra,Commissioner,info@chraj.gov.gh,+233 302 718 600,chraj.gov.gh,1,Human Rights,Ghana,HR justice commission CT,websearch_2026_hr_world
WACSI Accra Research - Accra,Research Director,research@wacsi.org,+233 302 718 700,wacsi.org,2,Human Rights,Ghana,West Africa civil CT,websearch_2026_hr_world
WANEP Accra Peace - Accra,Director,peace@wanep.org,+233 302 718 800,wanep.org,2,Human Rights,Ghana,Peacebuilding CT,websearch_2026_hr_world
LEDAP Lagos - Lagos,Director,info@ledapnigeria.org,+234 1 261 3400,ledapnigeria.org,3,Human Rights,Nigeria,Legal defence CT,websearch_2026_hr_world
RULAAC Lagos - Lagos,Executive Director,info@rulaac.org,+234 1 261 3500,rulaac.org,2,Human Rights,Nigeria,Rule of law CT,websearch_2026_hr_world
RADDHO Dakar - Dakar,President,info@raddho.org,+221 33 889 3400,raddho.org,2,Human Rights,Senegal,African rights CT,websearch_2026_hr_world
FTDES Tunis - Tunis,President,info@ftdes.net,+216 71 335 600,ftdes.net,2,Human Rights,Tunisia,Economic social forum CT,websearch_2026_hr_world
HRS Tripoli - Tripoli,Coordinator,info@hrsly.org,+218 21 333 3500,hrsly.org,3,Human Rights,Libya,Solidarity HR CT,websearch_2026_hr_world
EIPR Cairo - Cairo,Director,info@eipr.org,+20 2 2418 3700,eipr.org,2,Human Rights,Egypt,Personal rights CT,websearch_2026_hr_world
OMDH Rabat - Rabat,President,info@omdh.org.ma,+212 537 70 3500,omdh.org.ma,2,Human Rights,Morocco,Moroccan org CT,websearch_2026_hr_world
Yahad Algeria Algiers - Algiers,Coordinator,info@yahad.dz,+213 21 71 3500,yahad.dz,3,Human Rights,Algeria,Youth HR CT,websearch_2026_hr_world
