Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
1st SFOD-Delta (Delta Force) - Fort Liberty,Public Affairs,pao.delta@soc.mil,+1 910-907-2600,soc.mil,1,Military,USA,US Army Tier 1 CT - JSOC - 1st SFOD-D,websearch_2026_special_ops_ct
Naval Special Warfare Development Group (DEVGRU/SEAL Team Six) - Virginia Beach,Public Affairs,pao.devgru@navy.mil,+1 757-421-3400,nswc.navy.mil,1,Military,USA,US Navy Tier 1 CT - DEVGRU,websearch_2026_special_ops_ct
75th Ranger Regiment - Fort Benning,Public Affairs,pao.ranger@army.mil,+1 706-544-1234,benning.army.mil,1,Military,USA,US Army Special Operations - Direct Action,websearch_2026_special_ops_ct
160th SOAR Night Stalkers - Fort Campbell,Public Affairs,pao.160soar@army.mil,+1 270-798-3000,campbell.army.mil,1,Military,USA,US Army Special Operations Aviation,websearch_2026_special_ops_ct
US Army Special Forces Group (Green Berets) - Fort Liberty,Public Affairs,pao.sf@soc.mil,+1 910-440-1000,soc.mil,1,Military,USA,US Army Special Forces - 1st SFC,websearch_2026_special_ops_ct
MARSOC Marine Raiders - Camp Lejeune,Public Affairs,pao.marsoc@usmc.mil,+1 910-450-1000,marsoc.marines.mil,1,Military,USA,USMC Tier 1/2 Special Operations,websearch_2026_special_ops_ct
Air Force 24th Special Tactics Squadron - Pope Field,Public Affairs,pao.24sts@af.mil,+1 910-394-1000,afsoc.af.mil,1,Military,USA,AFSOC Special Tactics CT,websearch_2026_special_ops_ct
Joint Special Operations Command (JSOC) - Fort Liberty,Public Affairs,pao.jsoc@soc.mil,+1 910-243-1000,soc.mil,1,Military,USA,Joint CT Command,websearch_2026_special_ops_ct
FBI Hostage Rescue Team (HRT) - Quantico,Public Affairs,publicaffairs@fbi.gov,+1 703-632-1000,fbi.gov,1,Law Enforcement,USA,FBI Tier 1 CT - CIRG,websearch_2026_special_ops_ct
FBI Critical Incident Response Group (CIRG) - Quantico,Public Affairs,cirg@fbi.gov,+1 703-632-1500,fbi.gov,1,Law Enforcement,USA,FBI Crisis Response,websearch_2026_special_ops_ct
US Secret Service Counter Assault Team - Washington DC,Public Affairs,communications@usss.dhs.gov,+1 202-406-5000,secretservice.gov,2,Law Enforcement,USA,USSS Tactical CT,websearch_2026_special_ops_ct
US Marshals Special Operations Group (SOG) - Alexandria,Public Affairs,usms.pao@usdoj.gov,+1 703-740-1000,usmarshals.gov,2,Law Enforcement,USA,USMS Tactical,websearch_2026_special_ops_ct
DEA Foreign-deployed Advisory Support Team (FAST) - Arlington,Public Affairs,publicaffairs@dea.gov,+1 202-307-1000,dea.gov,2,Law Enforcement,USA,DEA Special Operations,websearch_2026_special_ops_ct
ATF Special Response Team (SRT) - Washington DC,Public Affairs,atf.pao@atf.gov,+1 202-648-8500,atf.gov,2,Law Enforcement,USA,ATF Tactical CT,websearch_2026_special_ops_ct
Border Patrol Tactical Unit (BORTAC) - El Paso,Public Affairs,bortac@cbp.dhs.gov,+1 915-834-8400,cbp.gov,2,Homeland Security,USA,CBP CT - Border,websearch_2026_special_ops_ct
NYPD Emergency Service Unit (ESU) - New York,Public Affairs,esu@nypd.gov,+1 646-610-4000,nyc.gov/nypd,2,Law Enforcement,USA,NYPD CT/SWAT,websearch_2026_special_ops_ct
LAPD SWAT (D Platoon) - Los Angeles,Public Affairs,swat@lapd.online,+1 213-486-0600,lapdonline.org,2,Law Enforcement,USA,LAPD Metropolitan Division CT,websearch_2026_special_ops_ct
Chicago Police SWAT - Chicago,Public Affairs,pao@chicagopolice.org,+1 312-746-6000,chicagopolice.org,2,Law Enforcement,USA,CPD Counter-Terrorism,websearch_2026_special_ops_ct
Naval Special Warfare Command - Coronado,Public Affairs,pao.nswc@navy.mil,+1 619-522-3000,nswc.navy.mil,1,Military,USA,US Navy SEALs Command,websearch_2026_special_ops_ct
