Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
US Navy SEAL Team 1 - Coronado,Public Affairs,pao.seal1@navy.mil,+1 619-522-3100,nswc.navy.mil,1,Military,USA,US Navy SEALs - NSWG1,websearch_2026_special_ops_ct2
US Navy SEAL Team 2 - Little Creek,Public Affairs,pao.seal2@navy.mil,+1 757-462-3100,nswc.navy.mil,1,Military,USA,US Navy SEALs - NSWG2,websearch_2026_special_ops_ct2
US Army 1st Special Forces Group - Fort Lewis,Public Affairs,pao.1sfg@army.mil,+1 253-967-3100,soc.mil,1,Military,USA,Green Berets Pacific,websearch_2026_special_ops_ct2
US Army 5th Special Forces Group - Fort Campbell,Public Affairs,pao.5sfg@army.mil,+1 270-798-3100,soc.mil,1,Military,USA,Green Berets CENTCOM,websearch_2026_special_ops_ct2
US Army 7th Special Forces Group - Eglin,Public Affairs,pao.7sfg@army.mil,+1 850-884-3100,soc.mil,1,Military,USA,Green Berets SOUTHCOM,websearch_2026_special_ops_ct2
US Air Force 1st Special Operations Wing - Hurlburt,Public Affairs,pao.1sow@af.mil,+1 850-884-3200,afsoc.af.mil,1,Military,USA,AFSOC SOF Aviation,websearch_2026_special_ops_ct2
USMC 1st Marine Raider Battalion - Camp Pendleton,Public Affairs,pao.mrb1@usmc.mil,+1 760-725-3100,marsoc.marines.mil,1,Military,USA,MARSOC Raiders,websearch_2026_special_ops_ct2
FBI SWAT Los Angeles Field Office,Public Affairs,losangeles@fbi.gov,+1 310-477-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT - LA,websearch_2026_special_ops_ct2
FBI SWAT New York Field Office,Public Affairs,newyork@fbi.gov,+1 212-384-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT - NY,websearch_2026_special_ops_ct2
Texas DPS Ranger Special Operations Group - Austin,Public Affairs,rsop@dps.texas.gov,+1 512-424-3100,dps.texas.gov,2,Law Enforcement,USA,Texas Rangers SORT CT,websearch_2026_special_ops_ct2
California Highway Patrol SWAT - Sacramento,Public Affairs,swat@chp.ca.gov,+1 916-843-3100,chp.ca.gov,2,Law Enforcement,USA,CHP Tactical CT,websearch_2026_special_ops_ct2
US Park Police SWAT - Washington DC,Public Affairs,uspp@nps.gov,+1 202-619-3100,nps.gov,2,Law Enforcement,USA,USPP Tactical,websearch_2026_special_ops_ct2
US Diplomatic Security MSAT - Washington DC,Public Affairs,ds_pao@state.gov,+1 571-345-3100,state.gov,2,Law Enforcement,USA,DSS Mobile Security CT,websearch_2026_special_ops_ct2
US Customs AMO Tactical - Riverside,Public Affairs,amo@cbp.dhs.gov,+1 951-656-3100,cbp.gov,2,Law Enforcement,USA,CBP Air Marine CT,websearch_2026_special_ops_ct2
US Army 1st Ranger Battalion - Hunter AAF,Public Affairs,pao.1ranger@army.mil,+1 912-315-3100,benning.army.mil,1,Military,USA,75th Ranger Direct Action,websearch_2026_special_ops_ct2
21 SAS Reserve - London,Public Affairs,pao.21sas@mod.gov.uk,+44 20 7414 3100,army.mod.uk,2,Military,UK,UKSF Reserve SAS,websearch_2026_special_ops_ct2
