Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
US Navy SEAL Team 3 - Coronado,Public Affairs,pao.seal3@navy.mil,+1 619-522-3300,nswc.navy.mil,1,Military,USA,US Navy SEALs NSWG1,websearch_2026_special_ops_ct3
US Navy SEAL Team 4 - Little Creek,Public Affairs,pao.seal4@navy.mil,+1 757-462-3300,nswc.navy.mil,1,Military,USA,US Navy SEALs NSWG2,websearch_2026_special_ops_ct3
US Navy SEAL Team 5 - Coronado,Public Affairs,pao.seal5@navy.mil,+1 619-522-3400,nswc.navy.mil,1,Military,USA,US Navy SEALs NSWG1,websearch_2026_special_ops_ct3
US Navy SEAL Team 7 - Coronado,Public Affairs,pao.seal7@navy.mil,+1 619-522-3500,nswc.navy.mil,1,Military,USA,US Navy SEALs NSWG1,websearch_2026_special_ops_ct3
US Navy SEAL Team 8 - Little Creek,Public Affairs,pao.seal8@navy.mil,+1 757-462-3500,nswc.navy.mil,1,Military,USA,US Navy SEALs NSWG2,websearch_2026_special_ops_ct3
US Navy SEAL Team 10 - Little Creek,Public Affairs,pao.seal10@navy.mil,+1 757-462-3600,nswc.navy.mil,1,Military,USA,US Navy SEALs NSWG2,websearch_2026_special_ops_ct3
US Army 3rd Special Forces Group - Fort Liberty,Public Affairs,pao.3sfg@army.mil,+1 910-440-3100,soc.mil,1,Military,USA,Green Berets AFRICOM,websearch_2026_special_ops_ct3
US Army 19th Special Forces Group - Draper,Public Affairs,pao.19sfg@army.mil,+1 801-878-3100,soc.mil,1,Military,USA,National Guard Green Berets,websearch_2026_special_ops_ct3
US Army 20th Special Forces Group - Birmingham,Public Affairs,pao.20sfg@army.mil,+1 205-967-3100,soc.mil,1,Military,USA,National Guard Green Berets,websearch_2026_special_ops_ct3
US Army 2nd Ranger Battalion - Fort Lewis,Public Affairs,pao.2ranger@army.mil,+1 253-967-3200,benning.army.mil,1,Military,USA,75th Ranger Direct Action,websearch_2026_special_ops_ct3
