Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
Naval Special Warfare Group 4 - Virginia Beach,Public Affairs,pao.nswg4@navy.mil,+1 757-462-3700,nswc.navy.mil,1,Military,USA,Special Boat Teams Command CT,websearch_2026_special_ops_ct4
SEAL Delivery Vehicle Team 1 - Pearl Harbor,Public Affairs,pao.sdvt1@navy.mil,+1 808-473-3100,nswc.navy.mil,1,Military,USA,SDV Maritime CT,websearch_2026_special_ops_ct4
Special Boat Team 12 - Coronado,Public Affairs,pao.sbt12@navy.mil,+1 619-522-3600,nswc.navy.mil,1,Military,USA,Riverine Special CT,websearch_2026_special_ops_ct4
Special Boat Team 20 - Little Creek,Public Affairs,pao.sbt20@navy.mil,+1 757-462-3700,nswc.navy.mil,1,Military,USA,Riverine Special CT,websearch_2026_special_ops_ct4
Air Force 21st Special Tactics Squadron - Pope Field,Public Affairs,pao.21sts@af.mil,+1 910-394-3200,afsoc.af.mil,1,Military,USA,Special Tactics CT,websearch_2026_special_ops_ct4
Air Force 22nd Special Tactics Squadron - McChord,Public Affairs,pao.22sts@af.mil,+1 253-982-3100,afsoc.af.mil,1,Military,USA,Special Tactics CT,websearch_2026_special_ops_ct4
Air Force 23rd Special Tactics Squadron - Hurlburt,Public Affairs,pao.23sts@af.mil,+1 850-884-3300,afsoc.af.mil,1,Military,USA,Special Tactics CT,websearch_2026_special_ops_ct4
75th Ranger Regimental Recon Company - Fort Benning,Public Affairs,pao.rrc@army.mil,+1 706-544-3400,benning.army.mil,1,Military,USA,Ranger Recon CT,websearch_2026_special_ops_ct4
USMC 3rd Marine Raider Battalion - Camp Lejeune,Public Affairs,pao.mrb3@usmc.mil,+1 910-450-3300,marsoc.marines.mil,1,Military,USA,MARSOC Raiders CT,websearch_2026_special_ops_ct4
MARSOC Support Group - Camp Lejeune,Public Affairs,pao.msog@usmc.mil,+1 910-450-3400,marsoc.marines.mil,2,Military,USA,Raider Support CT,websearch_2026_special_ops_ct4
