Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
FBI SWAT San Francisco - San Francisco,Public Affairs,sanfrancisco@fbi.gov,+1 415-553-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT SF,websearch_2026_special_ops_ct5
FBI SWAT Seattle - Seattle,Public Affairs,seattle@fbi.gov,+1 206-622-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Seattle,websearch_2026_special_ops_ct5
FBI SWAT Boston - Boston,Public Affairs,boston@fbi.gov,+1 617-742-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Boston,websearch_2026_special_ops_ct5
FBI SWAT Dallas - Dallas,Public Affairs,dallas@fbi.gov,+1 214-720-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Dallas,websearch_2026_special_ops_ct5
FBI SWAT Atlanta - Atlanta,Public Affairs,atlanta@fbi.gov,+1 404-679-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Atlanta,websearch_2026_special_ops_ct5
FBI SWAT Denver - Denver,Public Affairs,denver@fbi.gov,+1 303-629-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Denver,websearch_2026_special_ops_ct5
FBI SWAT Phoenix - Phoenix,Public Affairs,phoenix@fbi.gov,+1 623-466-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Phoenix,websearch_2026_special_ops_ct5
FBI SWAT Detroit - Detroit,Public Affairs,detroit@fbi.gov,+1 313-965-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Detroit,websearch_2026_special_ops_ct5
FBI SWAT Philadelphia - Philadelphia,Public Affairs,philadelphia@fbi.gov,+1 215-418-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Philly,websearch_2026_special_ops_ct5
FBI SWAT Newark - Newark,Public Affairs,newark@fbi.gov,+1 973-792-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Newark,websearch_2026_special_ops_ct5
ATF SRT Dallas - Dallas,Public Affairs,srt.dallas@atf.gov,+1 214-794-3100,atf.gov,2,Law Enforcement,USA,ATF Dallas CT,websearch_2026_special_ops_ct5
ATF SRT Los Angeles - Los Angeles,Public Affairs,srt.la@atf.gov,+1 213-894-3200,atf.gov,2,Law Enforcement,USA,ATF LA CT,websearch_2026_special_ops_ct5
DEA FAST San Diego - San Diego,Public Affairs,fast.sd@dea.gov,+1 619-431-3100,dea.gov,2,Law Enforcement,USA,DEA FAST West CT,websearch_2026_special_ops_ct5
US Border Patrol BORSTAR El Paso - El Paso,Public Affairs,borstar@cbp.dhs.gov,+1 915-834-3200,cbp.gov,2,Law Enforcement,USA,BORSTAR Rescue CT,websearch_2026_special_ops_ct5
US Capitol Police CERT - Washington DC,Public Affairs,cert@uscp.gov,+1 202-224-3200,uscp.gov,2,Law Enforcement,USA,USCP CERT CT,websearch_2026_special_ops_ct5
Ohio Highway Patrol STG - Columbus,Public Affairs,stg@ohio.gov,+1 614-466-3100,ohio.gov,2,Law Enforcement,USA,Ohio STG CT,websearch_2026_special_ops_ct5
New Jersey State Police TEAMS - Trenton,Public Affairs,teams@njsp.gov,+1 609-882-3100,njsp.gov,2,Law Enforcement,USA,NJSP TEAMS CT,websearch_2026_special_ops_ct5
LAPD SIS - Los Angeles,Public Affairs,sis@lapd.online,+1 213-486-0700,lapdonline.org,2,Law Enforcement,USA,LAPD SIS CT,websearch_2026_special_ops_ct5
NYPD Hercules - New York,Public Affairs,hercules@nypd.gov,+1 646-610-4100,nyc.gov/nypd,2,Law Enforcement,USA,NYPD Hercules CT,websearch_2026_special_ops_ct5
Miami-Dade SRT - Miami,Public Affairs,srt@miamidade.gov,+1 305-471-3100,miamidade.gov,2,Law Enforcement,USA,MDPD SRT CT,websearch_2026_special_ops_ct5
22 SAS D Squadron - Hereford,Public Affairs,dsqn@mod.gov.uk,+44 1432 359 3200,army.mod.uk,1,Military,UK,SAS D Sqn CT,websearch_2026_special_ops_ct5
SBS X Squadron - Poole,Public Affairs,xsqn@mod.gov.uk,+44 1202 202 3200,royalnavy.mod.uk,1,Military,UK,SBS X Sqn CT,websearch_2026_special_ops_ct5
MET CTSFO London - London,Public Affairs,ctsfo.london@met.police.uk,+44 20 7230 3200,met.police.uk,2,Law Enforcement,UK,MET London Armed CT,websearch_2026_special_ops_ct5
Surrey CTSFO Guildford - Guildford,Public Affairs,ctsfo@surrey.police.uk,+44 1483 632 100,surrey.police.uk,2,Law Enforcement,UK,Surrey Armed CT,websearch_2026_special_ops_ct5
RAID Lyon - Lyon,Public Affairs,raid.lyon@interieur.gouv.fr,+33 4 78 12 3100,police-nationale.interieur.gouv.fr,2,Law Enforcement,France,RAID Lyon CT,websearch_2026_special_ops_ct5
