Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
FBI SWAT Albuquerque - Albuquerque,Public Affairs,albuquerque@fbi.gov,+1 505-224-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT ABQ,websearch_2026_special_ops_ct6
FBI SWAT Baltimore - Baltimore,Public Affairs,baltimore@fbi.gov,+1 410-265-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Baltimore,websearch_2026_special_ops_ct6
FBI SWAT Birmingham - Birmingham,Public Affairs,birmingham@fbi.gov,+1 205-326-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Birmingham,websearch_2026_special_ops_ct6
FBI SWAT Buffalo - Buffalo,Public Affairs,buffalo@fbi.gov,+1 716-856-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Buffalo,websearch_2026_special_ops_ct6
FBI SWAT Charlotte - Charlotte,Public Affairs,charlotte@fbi.gov,+1 704-377-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Charlotte,websearch_2026_special_ops_ct6
FBI SWAT Cincinnati - Cincinnati,Public Affairs,cincinnati@fbi.gov,+1 513-421-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Cincinnati,websearch_2026_special_ops_ct6
FBI SWAT Cleveland - Cleveland,Public Affairs,cleveland@fbi.gov,+1 216-522-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Cleveland,websearch_2026_special_ops_ct6
FBI SWAT Columbia - Columbia,Public Affairs,columbia@fbi.gov,+1 803-551-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Columbia,websearch_2026_special_ops_ct6
FBI SWAT El Paso - El Paso,Public Affairs,elpaso@fbi.gov,+1 915-832-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT El Paso,websearch_2026_special_ops_ct6
FBI SWAT Indianapolis - Indianapolis,Public Affairs,indianapolis@fbi.gov,+1 317-639-3100,fbi.gov,2,Law Enforcement,USA,FBI Tactical CT Indy,websearch_2026_special_ops_ct6
