Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
BOPE Alagoas Maceio - Maceio,Public Affairs,bope.maceio@pm.al.gov.br,+55 82 3315 3100,pm.al.gov.br,1,Law Enforcement,Brazil,BOPE Alagoas CT,websearch_2026_special_ops_ct6
BOPE Amapa Macapa - Macapa,Public Affairs,bope.macapa@pm.ap.gov.br,+55 96 3212 3100,pm.ap.gov.br,1,Law Enforcement,Brazil,BOPE Amapa CT,websearch_2026_special_ops_ct6
BOPE Amazonas Manaus Annex - Manaus,Public Affairs,bope.manaus@pm.am.gov.br,+55 92 3214 3100,pm.am.gov.br,1,Law Enforcement,Brazil,BOPE Amazonas CT,websearch_2026_special_ops_ct6
BOPE Minas Belo Horizonte - Belo Horizonte,Public Affairs,bope.bh@pmmg.mg.gov.br,+55 31 3250 3200,pmmg.mg.gov.br,1,Law Enforcement,Brazil,BOPE Minas CT,websearch_2026_special_ops_ct6
BOPE Pernambuco Recife - Recife,Public Affairs,bope.recife@pm.pe.gov.br,+55 81 3181 3200,pm.pe.gov.br,1,Law Enforcement,Brazil,BOPE Pernambuco CT,websearch_2026_special_ops_ct6
BOPE Rio Grande do Sul Porto Alegre - Porto Alegre,Public Affairs,bope.poa@bm.rs.gov.br,+55 51 3288 3100,bm.rs.gov.br,1,Law Enforcement,Brazil,BOPE Sul CT,websearch_2026_special_ops_ct6
BOPE Santa Catarina Florianopolis - Florianopolis,Public Affairs,bope.floripa@pm.sc.gov.br,+55 48 3229 3100,pm.sc.gov.br,1,Law Enforcement,Brazil,BOPE SC CT,websearch_2026_special_ops_ct6
BOPE Goias Goiania Annex - Goiania,Public Affairs,bope.goiania@pm.go.gov.br,+55 62 3201 3200,pm.go.gov.br,1,Law Enforcement,Brazil,BOPE Goias CT,websearch_2026_special_ops_ct6
BOPE Mato Grosso Cuiaba - Cuiaba,Public Affairs,bope.cuiaba@pm.mt.gov.br,+55 65 3613 3100,pm.mt.gov.br,1,Law Enforcement,Brazil,BOPE MT CT,websearch_2026_special_ops_ct6
BOPE Mato Grosso do Sul Campo Grande - Campo Grande,Public Affairs,bope.cg@pm.ms.gov.br,+55 67 3357 3100,pm.ms.gov.br,1,Law Enforcement,Brazil,BOPE MS CT,websearch_2026_special_ops_ct6
BOPE Para Belem - Belem,Public Affairs,bope.belem@pm.pa.gov.br,+55 91 3214 3100,pm.pa.gov.br,1,Law Enforcement,Brazil,BOPE Para CT,websearch_2026_special_ops_ct6
BOPE Paraiba Joao Pessoa - Joao Pessoa,Public Affairs,bope.jpa@pmpb.pb.gov.br,+55 83 3218 3100,pmpb.pb.gov.br,1,Law Enforcement,Brazil,BOPE Paraiba CT,websearch_2026_special_ops_ct6
BOPE Piaui Teresina - Teresina,Public Affairs,bope.teresina@pm.pi.gov.br,+55 86 3216 3100,pm.pi.gov.br,1,Law Enforcement,Brazil,BOPE Piaui CT,websearch_2026_special_ops_ct6
BOPE Rio Grande do Norte Natal - Natal,Public Affairs,bope.natal@pm.rn.gov.br,+55 84 3232 3100,pm.rn.gov.br,1,Law Enforcement,Brazil,BOPE RN CT,websearch_2026_special_ops_ct6
