Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
NSG Chennai - Chennai,Public Affairs,nsg.chennai@nsg.gov.in,+91 44 2216 3100,nsg.gov.in,1,Law Enforcement,India,NSG South CT,websearch_2026_special_ops_ct6
NSG Kolkata - Kolkata,Public Affairs,nsg.kolkata@nsg.gov.in,+91 33 2216 3100,nsg.gov.in,1,Law Enforcement,India,NSG East CT,websearch_2026_special_ops_ct6
NSG Ahmedabad - Ahmedabad,Public Affairs,nsg.ahmedabad@nsg.gov.in,+91 79 2216 3100,nsg.gov.in,1,Law Enforcement,India,NSG West CT,websearch_2026_special_ops_ct6
MARCOS Goa - Goa,Public Affairs,marcos.goa@navy.gov.in,+91 832 250 3100,indiannavy.nic.in,1,Military,India,MARCOS West CT,websearch_2026_special_ops_ct6
Garud Chandigarh - Chandigarh,Public Affairs,garud.chandigarh@iaf.gov.in,+91 172 257 3100,iaf.gov.in,1,Military,India,Garud North CT,websearch_2026_special_ops_ct6
Force One Thane - Thane,Public Affairs,forceone.thane@mahapolice.gov.in,+91 22 2582 3100,mahapolice.gov.in,1,Law Enforcement,India,Force One Metro CT,websearch_2026_special_ops_ct6
SSG Attock - Attock,Public Affairs,ssg.attock@pakarmy.gov.pk,+92 57 931 3100,pakistanarmy.gov.pk,1,Military,Pakistan,SSG Punjab CT,websearch_2026_special_ops_ct6
SSG Mangla - Mangla,Public Affairs,ssg.mangla@pakarmy.gov.pk,+92 544 388 100,pakistanarmy.gov.pk,1,Military,Pakistan,SSG Kashmir CT,websearch_2026_special_ops_ct6
SSW Quetta - Quetta,Public Affairs,ssw.quetta@paf.gov.pk,+92 81 920 3100,paf.gov.pk,1,Military,Pakistan,SSW Baloch CT,websearch_2026_special_ops_ct6
SWADS Chittagong - Chittagong,Public Affairs,swads@navy.mil.bd,+880 31 251 3100,navy.mil.bd,1,Military,Bangladesh,SWADS Naval CT,websearch_2026_special_ops_ct6
RAB Dhaka - Dhaka,Public Affairs,rab@rab.gov.bd,+880 2 814 3100,rab.gov.bd,1,Law Enforcement,Bangladesh,RAB CT,websearch_2026_special_ops_ct6
SB Colombo - Colombo,Public Affairs,sb@police.lk,+94 11 242 3100,police.lk,1,Law Enforcement,Sri Lanka,Special Bureau CT,websearch_2026_special_ops_ct6
STF Colombo - Colombo,Public Affairs,stf@police.lk,+94 11 243 3100,police.lk,1,Law Enforcement,Sri Lanka,STF CT,websearch_2026_special_ops_ct6
Army SOF Kathmandu - Kathmandu,Public Affairs,sof@nepalarmy.mil.np,+977 1 441 3100,nepalarmy.mil.np,1,Military,Nepal,Army SOF CT,websearch_2026_special_ops_ct6
Police STF Kathmandu - Kathmandu,Public Affairs,stf@nepalpolice.gov.np,+977 1 441 3200,nepalpolice.gov.np,1,Law Enforcement,Nepal,Police STF CT,websearch_2026_special_ops_ct6
RBG Thimphu - Thimphu,Public Affairs,rbg@rbg.bt,+975 2 322 100,rbg.bt,1,Military,Bhutan,Royal Bodyguard CT,websearch_2026_special_ops_ct6
MNDF Male - Male,Public Affairs,mndf@mndf.gov.mv,+960 332 3100,mndf.gov.mv,1,Military,Maldives,MNDF SOF CT,websearch_2026_special_ops_ct6
