Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
Maroon Berets (OKK) - Ankara,Public Affairs,okk@tsk.tr,+90 312 425 1000,tsk.tr,1,Military,Turkey,Turkish Special Forces Command,websearch_2026_special_ops_ct
JÖAK - Ankara,Public Affairs,joak@jandarma.gov.tr,+90 312 456 1000,jandarma.gov.tr,1,Law Enforcement,Turkey,Gendarmerie CT - JÖAK,websearch_2026_special_ops_ct
SAT - Istanbul,Public Affairs,sat@dzkk.tsk.tr,+90 212 398 1000,dzkk.tsk.tr,1,Military,Turkey,Turkish Navy SAT CT,websearch_2026_special_ops_ct
NSG Black Cats - New Delhi,Public Affairs,nsg@gov.in,+91 11 4303 1000,nsg.gov.in,1,Law Enforcement,India,NSG CT - Black Cats,websearch_2026_special_ops_ct
MARCOS - Mumbai,Public Affairs,marcos@navy.gov.in,+91 22 2500 1000,indiannavy.nic.in,1,Military,India,Indian Navy MARCOS,websearch_2026_special_ops_ct
Para SF - Agra,Public Affairs,parasf@indianarmy.gov.in,+91 562 222 1000,indianarmy.nic.in,1,Military,India,Para Special Forces,websearch_2026_special_ops_ct
SSG - Cherat,Public Affairs,ssg@pakarmy.gov.pk,+92 51 927 1000,pakistanarmy.gov.pk,1,Military,Pakistan,SSG CT - Pakistan Army,websearch_2026_special_ops_ct
SSW - Peshawar,Public Affairs,ssw@paf.gov.pk,+92 91 921 1000,paf.gov.pk,1,Military,Pakistan,SSW CT - Pakistan Air Force,websearch_2026_special_ops_ct
707th SMB White Tigers - Seoul,Public Affairs,707smb@army.mil.kr,+82 2 500 1000,army.mil.kr,1,Military,South Korea,707th Special Mission Battalion CT,websearch_2026_special_ops_ct
UDT/SEAL - Jinhae,Public Affairs,udt@navy.mil.kr,+82 55 542 1000,navy.mil.kr,1,Military,South Korea,ROK Navy UDT/SEAL,websearch_2026_special_ops_ct
Special Assault Team (SAT) - Tokyo,Public Affairs,sat@npa.go.jp,+81 3 3581 1000,npa.go.jp,1,Law Enforcement,Japan,Japan Police CT - SAT,websearch_2026_special_ops_ct
Special Operations Group (SOG) - Narashino,Public Affairs,sog@mod.go.jp,+81 47 466 1000,mod.go.jp,1,Military,Japan,JGSDF Special Operations Group,websearch_2026_special_ops_ct
Special Forces Brigade - Pretoria,Public Affairs,sfbde@dod.mil.za,+27 12 355 1000,dod.mil.za,1,Military,South Africa,SA Special Forces Brigade,websearch_2026_special_ops_ct
SAPS Special Task Force - Pretoria,Public Affairs,taskforce@saps.gov.za,+27 12 393 1000,saps.gov.za,1,Law Enforcement,South Africa,SAPS CT - Task Force,websearch_2026_special_ops_ct
AFEUR - Bogotá,Public Affairs,afeur@ejercito.mil.co,+57 1 426 1000,ejercito.mil.co,1,Military,Colombia,AFEUR CT - Colombia Army,websearch_2026_special_ops_ct
COPES - Bogotá,Public Affairs,copes@policia.gov.co,+57 1 515 1000,policia.gov.co,1,Law Enforcement,Colombia,COPES CT - National Police,websearch_2026_special_ops_ct
FER - Temamatla,Public Affairs,fer@sedena.gob.mx,+52 55 5557 1000,gob.mx/sedena,1,Military,Mexico,FER CT - Mexican Army,websearch_2026_special_ops_ct
Fuerzas Especiales - Mexico City,Public Affairs,fes@semar.gob.mx,+52 55 5624 1000,gob.mx/semar,1,Military,Mexico,Mexican Navy FES,websearch_2026_special_ops_ct
Unit 777 - Cairo,Public Affairs,unit777@mod.gov.eg,+20 2 2418 1000,mod.gov.eg,1,Military,Egypt,Egypt CT - Unit 777,websearch_2026_special_ops_ct
Unit 999 - Cairo,Public Affairs,unit999@mod.gov.eg,+20 2 2418 2000,mod.gov.eg,1,Military,Egypt,Egypt CT - Unit 999,websearch_2026_special_ops_ct
Special Operations Forces - Abuja,Public Affairs,sof@defence.gov.ng,+234 9 461 1000,defence.gov.ng,1,Military,Nigeria,Nigeria SOF CT,websearch_2026_special_ops_ct
Recce Company - Nairobi,Public Affairs,recce@kenyapolice.go.ke,+254 20 272 1000,kenyapolice.go.ke,1,Law Enforcement,Kenya,Kenya Recce CT,websearch_2026_special_ops_ct
Light Reaction Regiment - Fort Magsaysay,Public Affairs,lrr@army.mil.ph,+63 2 845 1000,army.mil.ph,1,Military,Philippines,Philippines CT - LRR,websearch_2026_special_ops_ct
