Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
Arab Community Center for Economic and Social Services - ACCESS Center,Maha Freij,info@accesscommunity.org,313-842-7010,accesscommunity.org,3,Human Rights,USA,"NCTTP/ORR SOT: psychosocial rehab for torture survivors, Dearborn MI",websearch_2026_torture_survivors
Asylee Women Enterprise (AWE),Suzanne Sahak,info@asyleewomen.org,410-537-1779,asyleewomen.org,3,Human Rights,USA,"Baltimore survivor services: housing, legal, trauma care for asylee women",websearch_2026_torture_survivors
Asylum Works - Capital Area Healing Coalition,Joan Hodges-Wu,info@asylumworks.org,202-560-2644,asylumworks.org,3,Human Rights,USA,DC ORR SOT grantee: torture survivor holistic services,websearch_2026_torture_survivors
Boston Medical Center - Boston Center for Refugee Health & Human Rights,Sondra Crosby,bcrhhr@bmc.org,617-414-4796,bmc.org/bcrhhr,2,Human Rights,USA,"BCRHHR: medical/psych forensics & care, Boston MA (est 1998)",websearch_2026_torture_survivors
Ohio Center for Survivors of Torture - Catholic Charities Cleveland,Thomas Mullen,ocst@catholiccharitiescc.org,216-456-2000,ccdocle.org/ocst,3,Human Rights,USA,ORR SOT grantee: holistic services for torture survivors statewide OH,websearch_2026_torture_survivors
International Rescue Committee Arizona - SOT Program Phoenix & Tucson,Amanda Aguirre,phoenix@rescue.org,602-433-2440,rescue.org/arizona,3,Human Rights,USA,IRC SOT Phoenix & Tucson: ORR funded survivor rehabilitation,websearch_2026_torture_survivors
Las Cumbres Community Services - WINGS Program,Roxanne Martinez,info@lascumbres-nm.org,505-901-1560,lascumbres-nm.org,3,Human Rights,USA,Espanola NM: ORR SOT WINGS holistic trauma services,websearch_2026_torture_survivors
Lowell Community Health Center - Survivors Services,Sheila Och,info@lchealth.org,978-937-9700,lchealth.org,3,Human Rights,USA,Lowell MA: multicultural torture survivor medical/mental health,websearch_2026_torture_survivors
Monarch Immigrant Services - St. Louis Partnership for Survivors of Torture,Alicia Wilson,info@monarch-stl.org,314-361-9400,monarchstl.org,3,Human Rights,USA,St Louis MO NCTTP member: integrated torture survivor care,websearch_2026_torture_survivors
Nationalities Service Center - Philadelphia Partnership for Resilience,Margaret O Sullivan,ppr@nscphila.org,215-893-8400,nscphila.org,3,Human Rights,USA,Philadelphia PA: ORR PPR collaborative survivor care,websearch_2026_torture_survivors
Partnership for Trauma Recovery,Stephanie Lavarello,info@traumarecovery.org,510-292-5478,partnershipfortraumarecovery.org,3,Human Rights,USA,Berkeley CA: ORR SOT bay area refugee trauma recovery,websearch_2026_torture_survivors
Prisma Health - Carolina Survivor Clinic,Sarah Andrews,info@prismahealth.org,803-296-3711,prismahealth.org,3,Human Rights,USA,Columbia SC: ORR SOT medical/psych survivor clinic,websearch_2026_torture_survivors
Program for Torture Victims Orange County,Jose Quiroga,info@ptvoc.org,714-881-4727,ptvla.org/orange-county,3,Human Rights,USA,Santa Ana CA: ORR SOT dedicated torture victim rehabilitation,websearch_2026_torture_survivors
Saint Alphonsus Center for Global Health & Healing - PSOT Idaho,Sarah Clemens-Conover,info@saintalphonsus.org,208-367-2121,saintalphonsus.org/psot,3,Human Rights,USA,Boise ID: interdisciplinary PSOT wrap-around services (est 2015),websearch_2026_torture_survivors
UCSF Trauma Recovery Center - Survivors International,Suzanne Barakat,info@survivorsintl.org,415-476-7000,survivorsintl.org,3,Human Rights,USA,San Francisco CA: trauma recovery & forensic evaluation,websearch_2026_torture_survivors
Thrive Center for Survivors of Torture - Utah Health & Human Rights Project,Heidi Larsen,info@uthhr.org,801-494-5412,uthhr.org,3,Human Rights,USA,Salt Lake City UT NCTTP member: ORR SOT ( distinct from prior generic ),websearch_2026_torture_survivors
Family Health Centers - Survivors of Torture Services Louisville,Megan Alston,sts@familyhealthcenters.org,502-772-8588,familyhealthcenters.org/sts,3,Human Rights,USA,Louisville KY: ORR STS successor to STRC (est 2012),websearch_2026_torture_survivors
Connecting Cultures - New England Survivors of Torture & Trauma (NESTT),Andy Blanchard,info@connectingculturesvt.org,802-651-8880,connectingculturesvt.org,3,Human Rights,USA,Burlington VT: ORR NESTT UVM partnership,websearch_2026_torture_survivors
International Rescue Committee Seattle - SOT Program,Katie Kinsella,seattle@rescue.org,206-623-2100,rescue.org/seattle,3,Human Rights,USA,Seattle WA: IRC+Harborview+NWIRP survivor collaboration,websearch_2026_torture_survivors
International Rescue Committee Sacramento - SOT Program,Susan Fowler,sacramento@rescue.org,916-925-3340,rescue.org/sacramento,3,Human Rights,USA,Sacramento CA: IRC direct SOT services,websearch_2026_torture_survivors
Harvard Program in Refugee Trauma,Richard Mollica,hprt@hprt-cambridge.org,617-876-7879,hprt-cambridge.org,2,Human Rights,USA,"Cambridge MA: clinical training & research, NCTTP/NCB partner",websearch_2026_torture_survivors
De Novo Center for Justice and Healing,Ayesha Lewis,info@denovo.org,617-661-1010,denovo.org,3,Human Rights,USA,Boston MA: IRCT/NCTTP member legal + mental health for torture survivors,websearch_2026_torture_survivors
Bilingual International Assistant Services (BIAS) - St Louis,Alma Potts,info@bias-stl.org,314-645-5100,bias-stl.org,3,Human Rights,USA,St Louis MO: NCTTP immigrant survivor services,websearch_2026_torture_survivors
Western New York Center for Survivors of Torture - Journey End,Molly Short,info@jersbuffalo.org,716-882-4963,jersbuffalo.org,3,Human Rights,USA,Buffalo NY: JERS UB Family Medicine survivor partnership,websearch_2026_torture_survivors
Mount Sinai Human Rights Program,Rachael Klein,ms-hrp@mountsinai.org,212-241-6500,mountsinai.org/hrp,2,Human Rights,USA,"New York NY: forensic evaluations + care, NCTTP",websearch_2026_torture_survivors
