Company,Contact Name,Email,Phone,Website,Tier,Type,Vertical,Notes,Source
Brennan Center for Justice,Michael Waldman,info@brennancenter.org,,brennancenter.org,2,Human Rights,USA,NYU Law - democracy & justice reform; Social: Twitter @BrennanCenter,websearch_2026_us_hr_expansion
Electronic Frontier Foundation (EFF),Cindy Cohn,info@eff.org,415-436-9333,eff.org,2,Human Rights,USA,Digital civil liberties; San Francisco,websearch_2026_us_hr_expansion
Center for Human Rights & Constitutional Law,Peter Schey,info@centerforhumanrights.org,,centerforhumanrights.org,3,Human Rights,USA,Los Angeles - immigrant & human rights,websearch_2026_us_hr_expansion
Human Rights Defense Center,Paul Wright,info@humanrightsdefensecenter.org,,humanrightsdefensecenter.org,3,Human Rights,USA,Prison rights; publishes Prison Legal News,websearch_2026_us_hr_expansion
National Center for Civil and Human Rights,Jill Savitt,info@civilandhumanrights.org,678-999-3700,civilandhumanrights.org,3,Human Rights,USA,Atlanta museum & advocacy center,websearch_2026_us_hr_expansion
National Immigration Forum,Jennie Murray,info@immigrationforum.org,202-347-0040,immigrationforum.org,2,Human Rights,USA,DC advocacy for immigrants,websearch_2026_us_hr_expansion
American Immigration Council,Jeremy Robbins,info@immigrationcouncil.org,202-507-7500,americanimmigrationcouncil.org,3,Human Rights,USA,DC legal & policy,websearch_2026_us_hr_expansion
National Network for Immigrant and Refugee Rights,Catherine Tactaquin,info@nnirr.org,510-465-1984,nnirr.org,3,Human Rights,USA,Oakland grassroots network,websearch_2026_us_hr_expansion
Center for Reproductive Rights,Nancy Northup,info@reproductiverights.org,212-362-7554,reproductiverights.org,2,Human Rights,USA,NYC reproductive justice,websearch_2026_us_hr_expansion
Lambda Legal,Kevin Jennings,info@lambdalegal.org,212-809-8585,lambdalegal.org,2,Human Rights,USA,LGBTQ+ legal defense,websearch_2026_us_hr_expansion
National Center for Transgender Equality,Rodrigo Heng-Lehtinen,ncte@transequality.org,202-642-4542,transequality.org,3,Human Rights,USA,DC trans rights advocacy,websearch_2026_us_hr_expansion
Disability Rights Education & Defense Fund,Susan Henderson,info@dredf.org,510-644-2555,dredf.org,3,Human Rights,USA,Berkeley disability rights,websearch_2026_us_hr_expansion
Human Rights Data Analysis Group (HRDAG),Megan Price,info@hrdag.org,,hrdag.org,3,Human Rights,USA,San Francisco data science for HR,websearch_2026_us_hr_expansion
Global Fund for Women,PeiYao Chen,info@globalfundforwomen.org,415-248-4800,globalfundforwomen.org,3,Human Rights,USA,SF international womens rights,websearch_2026_us_hr_expansion
MADRE,Yifat Susskind,info@madre.org,212-627-0444,madre.org,3,Human Rights,USA,NYC feminist international HR,websearch_2026_us_hr_expansion
Urgent Action Fund for Womens Human Rights,Kate Kroeger,info@urgentactionfund.org,415-523-0360,urgentactionfund.org,3,Human Rights,USA,SF rapid response feminist fund,websearch_2026_us_hr_expansion
OutRight Action International,Maria Sjodin,info@outrightinternational.org,212-430-6054,outrightinternational.org,3,Human Rights,USA,NYC LGBTIQ human rights,websearch_2026_us_hr_expansion
Detention Watch Network,Setareh Ghandehari,info@detentionwatchnetwork.org,202-350-3500,detentionwatchnetwork.org,3,Human Rights,USA,DC detention abolition coalition,websearch_2026_us_hr_expansion
National Religious Campaign Against Torture,Rev. Ron Stief,info@nrcat.org,202-547-1920,nrcat.org,3,Human Rights,USA,DC interfaith anti-torture,websearch_2026_us_hr_expansion
Human Rights Connected,Pamela Brannon,info@humanrightsconnected.org,,humanrightsconnected.org,3,Human Rights,USA,DC human rights education,websearch_2026_us_hr_expansion
Witness for Peace Solidarity Collective,Eva House,info@solidaritycollective.org,,solidaritycollective.org,3,Human Rights,USA,Latin America solidarity,websearch_2026_us_hr_expansion
School of the Americas Watch (SOA Watch),Arturo Vizcarra,info@soaw.org,202-234-3440,soaw.org,3,Human Rights,USA,DC anti-militarism HR,websearch_2026_us_hr_expansion
Partners for Dignity & Rights,Cathy Albisa,info@dignityandrights.org,,dignityandrights.org,3,Human Rights,USA,NYC economic & social rights,websearch_2026_us_hr_expansion
US Campaign for Palestinian Rights,Ahmad Abuznaid,info@uscpr.org,703-312-6360,uscpr.org,3,Human Rights,USA,Falls Church Palestinian rights,websearch_2026_us_hr_expansion
The Freedom Initiative,Bethany Al-Haidari,info@thefreedominitiative.org,,thefreedominitiative.org,3,Human Rights,USA,DC MENA human rights,websearch_2026_us_hr_expansion
